Column3,Column2,Column1,active_PSS,product,Substance_Name,Substance_Type,Molecular_Formula,Molecular_Weight,Inchikey,Comment,Created_Date,Last_Updated_Date,External_Code_XEVMPD,External_Code_SVG,External_Code_UNII,pss_inchi,IsomericSMILES,ps_smiles,ps_num_drugs,p_smiles,p_inchi,p_inchikey,p_chembl_id,chembl_mismatch
206,206,206,LAMIVUDINE,170,LAMIVUDINE,Chemical,C8H11N3O3S,,JTEGQNOMFQHVDC-NKWVEPMBSA-N,,25/07/2019 11:55,12/09/2023 14:12,SUB08392MIG,1,2T8Q726O95,"InChI=1S/C8H11N3O3S/c9-5-1-2-11(8(13)10-5)6-4-15-7(3-12)14-6/h1-2,6-7,12H,3-4H2,(H2,9,10,13)/t6-,7+/m0/s1",C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,1,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,"InChI=1S/C8H11N3O3S/c9-5-1-2-11(8(13)10-5)6-4-15-7(3-12)14-6/h1-2,6-7,12H,3-4H2,(H2,9,10,13)/t6-,7+/m0/s1",JTEGQNOMFQHVDC-NKWVEPMBSA-N,CHEMBL141,FALSE
207,207,207,LAMIVUDINE,171,LAMIVUDINE,Chemical,C8H11N3O3S,,JTEGQNOMFQHVDC-NKWVEPMBSA-N,,25/07/2019 11:55,12/09/2023 14:12,SUB08392MIG,1,2T8Q726O95,"InChI=1S/C8H11N3O3S/c9-5-1-2-11(8(13)10-5)6-4-15-7(3-12)14-6/h1-2,6-7,12H,3-4H2,(H2,9,10,13)/t6-,7+/m0/s1",C1[C@H](O[C@H](S1)CO)N2C=CC(=NC2=O)N,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,1,Nc1ccn([C@@H]2CS[C@H](CO)O2)c(=O)n1,"InChI=1S/C8H11N3O3S/c9-5-1-2-11(8(13)10-5)6-4-15-7(3-12)14-6/h1-2,6-7,12H,3-4H2,(H2,9,10,13)/t6-,7+/m0/s1",JTEGQNOMFQHVDC-NKWVEPMBSA-N,CHEMBL141,FALSE
208,208,208,DEFERIPRONE,172,DEFERIPRONE,Chemical,C7H9NO2,,TZXKOCQBRNJULO-UHFFFAOYSA-N,,25/07/2019 11:55,12/09/2023 14:01,SUB06941MIG,1,2BTY8KH53L,"InChI=1S/C7H9NO2/c1-5-7(10)6(9)3-4-8(5)2/h3-4,10H,1-2H3",CC1=C(C(=O)C=CN1C)O,Cc1c(O)c(=O)ccn1C,1,Cc1c(O)c(=O)ccn1C,"InChI=1S/C7H9NO2/c1-5-7(10)6(9)3-4-8(5)2/h3-4,10H,1-2H3",TZXKOCQBRNJULO-UHFFFAOYSA-N,CHEMBL70927,FALSE
209,209,209,DUVELISIB MONOHYDRATE,173,DUVELISIB MONOHYDRATE,Chemical,C22H17ClN6O.H2O,,FQLHRUBTGKTKPZ-ZOWNYOTGSA-N,,09/09/2022 14:46,22/08/2023 11:56,SUB294122,1,4WD61MR063,"InChI=1S/C22H17ClN6O.H2O/c1-13(28-21-19-20(25-11-24-19)26-12-27-21)17-10-14-6-5-9-16(23)18(14)22(30)29(17)15-7-3-2-4-8-15;/h2-13H,1H3,(H2,24,25,26,27,28);1H2/t13-;/m0./s1",C[C@@H](C1=CC2=C(C(=CC=C2)Cl)C(=O)N1C3=CC=CC=C3)NC4=NC=NC5=C4NC=N5.O,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,1,C[C@H](Nc1ncnc2nc[nH]c12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,"InChI=1S/C22H17ClN6O/c1-13(28-21-19-20(25-11-24-19)26-12-27-21)17-10-14-6-5-9-16(23)18(14)22(30)29(17)15-7-3-2-4-8-15/h2-13H,1H3,(H2,24,25,26,27,28)/t13-/m0/s1",SJVQHLPISAIATJ-ZDUSSCGKSA-N,CHEMBL3039502,FALSE
210,210,210,ARIPIPRAZOLE,174,ARIPIPRAZOLE,Chemical,C23H27Cl2N3O2,,CEUORZQYGODEFX-UHFFFAOYSA-N,,25/07/2019 11:55,18/12/2023 14:54,SUB05564MIG,1,82VFR53I78,"InChI=1S/C23H27Cl2N3O2/c24-19-4-3-5-21(23(19)25)28-13-11-27(12-14-28)10-1-2-15-30-18-8-6-17-7-9-22(29)26-20(17)16-18/h3-6,8,16H,1-2,7,9-15H2,(H,26,29)",C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,1,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,"InChI=1S/C23H27Cl2N3O2/c24-19-4-3-5-21(23(19)25)28-13-11-27(12-14-28)10-1-2-15-30-18-8-6-17-7-9-22(29)26-20(17)16-18/h3-6,8,16H,1-2,7,9-15H2,(H,26,29)",CEUORZQYGODEFX-UHFFFAOYSA-N,CHEMBL1112,FALSE
211,211,211,INDINAVIR SULFATE ETHANOLATE,175,INDINAVIR SULFATE ETHANOLATE,Chemical,C36H47N5O4.C2H6O.H2O4S,,QDNVAYDEAGXHTB-NOYQBWMBSA-N,,25/07/2019 11:55,14/06/2023 10:30,SUB192041,1,34OB95C8AE,"InChI=1S/C36H47N5O4.C2H6O.H2O4S/c1-36(2,3)39-35(45)31-24-40(22-26-12-9-15-37-21-26)16-17-41(31)23-29(42)19-28(18-25-10-5-4-6-11-25)34(44)38-33-30-14-8-7-13-27(30)20-32(33)43;1-2-3;1-5(2,3)4/h4-15,21,28-29,31-33,42-43H,16-20,22-24H2,1-3H3,(H,38,44)(H,39,45);3H,2H2,1H3;(H2,1,2,3,4)/t28-,29+,31+,32-,33+;;/m1../s1",CCO.CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@H](C[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H]3[C@@H](CC4=CC=CC=C34)O)O)CC5=CN=CC=C5.OS(=O)(=O)O,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O.CCO.O=S(=O)(O)O,1,CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,"InChI=1S/C36H47N5O4/c1-36(2,3)39-35(45)31-24-40(22-26-12-9-15-37-21-26)16-17-41(31)23-29(42)19-28(18-25-10-5-4-6-11-25)34(44)38-33-30-14-8-7-13-27(30)20-32(33)43/h4-15,21,28-29,31-33,42-43H,16-20,22-24H2,1-3H3,(H,38,44)(H,39,45)/t28-,29+,31+,32-,33+/m1/s1",CBVCZFGXHXORBI-PXQQMZJSSA-N,CHEMBL115,FALSE
212,212,212,PIRTOBRUTINIB,176,PIRTOBRUTINIB,Chemical,C22H21F4N5O3,,FWZAWAUZXYCBKZ-NSHDSACASA-N,,23/06/2020 22:06,01/08/2023 06:31,SUB215610,1,JNA39I7ZVB,"InChI=1S/C22H21F4N5O3/c1-11(22(24,25)26)31-19(27)17(20(28)32)18(30-31)13-5-3-12(4-6-13)10-29-21(33)15-9-14(23)7-8-16(15)34-2/h3-9,11H,10,27H2,1-2H3,(H2,28,32)(H,29,33)/t11-/m0/s1",C[C@@H](C(F)(F)F)N1C(=C(C(=N1)C2=CC=C(C=C2)CNC(=O)C3=C(C=CC(=C3)F)OC)C(=O)N)N,COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1,1,COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn([C@@H](C)C(F)(F)F)c(N)c2C(N)=O)cc1,"InChI=1S/C22H21F4N5O3/c1-11(22(24,25)26)31-19(27)17(20(28)32)18(30-31)13-5-3-12(4-6-13)10-29-21(33)15-9-14(23)7-8-16(15)34-2/h3-9,11H,10,27H2,1-2H3,(H2,28,32)(H,29,33)/t11-/m0/s1",FWZAWAUZXYCBKZ-NSHDSACASA-N,CHEMBL4650485,FALSE
213,213,213,13C-UREA,177,13C-UREA,Chemical,CH4N2O,,XSQUKJJJFZCRTK-OUBTZVSYSA-N,,25/07/2019 11:55,17/05/2023 13:26,SUB20015,1,W6KX9E6D8X,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)/i1+1",[13C](=O)(N)N,N[13C](N)=O,1,NC(N)=O,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",XSQUKJJJFZCRTK-UHFFFAOYSA-N,CHEMBL985,FALSE
214,214,214,EMEDASTINE DIFUMARATE,178,EMEDASTINE DIFUMARATE,Chemical,C17H26N4O.2C4H4O4,,FWLKKPKZQYVAFR-LVEZLNDCSA-N,,25/07/2019 11:55,17/05/2023 13:25,SUB20967,1,42MB94QOSM,"InChI=1S/C17H26N4O.2C4H4O4/c1-3-22-14-13-21-16-8-5-4-7-15(16)18-17(21)20-10-6-9-19(2)11-12-20;2*5-3(6)1-2-4(7)8/h4-5,7-8H,3,6,9-14H2,1-2H3;2*1-2H,(H,5,6)(H,7,8)/b;2*2-1+",CCOCCN1C(=NC2=CC=CC=C12)N3CCN(CCC3)C.C(=C/C(=O)O)\C(=O)O.C(=C/C(=O)O)\C(=O)O,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21.O=C(O)/C=C/C(=O)O.O=C(O)/C=C/C(=O)O,1,CCOCCn1c(N2CCCN(C)CC2)nc2ccccc21,"InChI=1S/C17H26N4O/c1-3-22-14-13-21-16-8-5-4-7-15(16)18-17(21)20-10-6-9-19(2)11-12-20/h4-5,7-8H,3,6,9-14H2,1-2H3",KBUZBQVCBVDWKX-UHFFFAOYSA-N,CHEMBL594,FALSE
215,215,215,CLOPIDOGREL HYDROCHLORIDE,179,CLOPIDOGREL HYDROCHLORIDE,Chemical,C16H16ClNO2S.ClH,,XIHVAFJSGWDBGA-RSAXXLAASA-N,,25/07/2019 11:55,17/05/2023 13:25,SUB30779,1,426O7XWS6Y,"InChI=1S/C16H16ClNO2S.ClH/c1-20-16(19)15(12-4-2-3-5-13(12)17)18-8-6-14-11(10-18)7-9-21-14;/h2-5,7,9,15H,6,8,10H2,1H3;1H/t15-;/m0./s1",COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3.Cl,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.Cl,1,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,"InChI=1S/C16H16ClNO2S/c1-20-16(19)15(12-4-2-3-5-13(12)17)18-8-6-14-11(10-18)7-9-21-14/h2-5,7,9,15H,6,8,10H2,1H3/t15-/m0/s1",GKTWGGQPFAXNFI-HNNXBMFYSA-N,CHEMBL1771,FALSE
216,216,216,IBANDRONATE SODIUM MONOHYDRATE,180,IBANDRONATE SODIUM MONOHYDRATE,Chemical,C9H22NO7P2.Na.H2O,,VBDRTGFACFYFCT-UHFFFAOYSA-M,,25/07/2019 11:55,18/12/2023 15:03,SUB12516MIG,1,J12U072QL0,"InChI=1S/C9H23NO7P2.Na.H2O/c1-3-4-5-7-10(2)8-6-9(11,18(12,13)14)19(15,16)17;;/h11H,3-8H2,1-2H3,(H2,12,13,14)(H2,15,16,17);;1H2/q;+1;/p-1",CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)[O-].O.[Na+],CCCCCN(C)CCC(O)(P(=O)([O-])O)P(=O)(O)O.[Na+],1,CCCCCN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,"InChI=1S/C9H23NO7P2/c1-3-4-5-7-10(2)8-6-9(11,18(12,13)14)19(15,16)17/h11H,3-8H2,1-2H3,(H2,12,13,14)(H2,15,16,17)",MPBVHIBUJCELCL-UHFFFAOYSA-N,CHEMBL997,FALSE
217,217,217,CARGLUMIC ACID,181,CARGLUMIC ACID,Chemical,C6H10N2O5,,LCQLHJZYVOQKHU-VKHMYHEASA-N,,25/07/2019 11:55,12/09/2023 11:14,SUB20051,1,5L0HB4V1EW,"InChI=1S/C6H10N2O5/c7-6(13)8-3(5(11)12)1-2-4(9)10/h3H,1-2H2,(H,9,10)(H,11,12)(H3,7,8,13)/t3-/m0/s1",C(CC(=O)O)[C@@H](C(=O)O)NC(=O)N,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,1,NC(=O)N[C@@H](CCC(=O)O)C(=O)O,"InChI=1S/C6H10N2O5/c7-6(13)8-3(5(11)12)1-2-4(9)10/h3H,1-2H2,(H,9,10)(H,11,12)(H3,7,8,13)/t3-/m0/s1",LCQLHJZYVOQKHU-VKHMYHEASA-N,CHEMBL1201780,FALSE
218,218,218,LIDOCAINE,182,LIDOCAINE,Chemical,C14H22N2O,,NNJVILVZKWQKPM-UHFFFAOYSA-N,,25/07/2019 11:55,19/12/2023 14:14,SUB08507MIG,1,98PI200987,"InChI=1S/C14H22N2O/c1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4/h7-9H,5-6,10H2,1-4H3,(H,15,17)",CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,CCN(CC)CC(=O)Nc1c(C)cccc1C,1,CCN(CC)CC(=O)Nc1c(C)cccc1C,"InChI=1S/C14H22N2O/c1-5-16(6-2)10-13(17)15-14-11(3)8-7-9-12(14)4/h7-9H,5-6,10H2,1-4H3,(H,15,17)",NNJVILVZKWQKPM-UHFFFAOYSA-N,CHEMBL79,FALSE
219,219,219,PRILOCAINE,182,PRILOCAINE,Chemical,C13H20N2O,,MVFGUOIZUNYYSO-UHFFFAOYSA-N,,25/07/2019 11:55,28/07/2023 13:05,SUB10041MIG,1,046O35D44R,"InChI=1S/C13H20N2O/c1-4-9-14-11(3)13(16)15-12-8-6-5-7-10(12)2/h5-8,11,14H,4,9H2,1-3H3,(H,15,16)",CCCNC(C)C(=O)NC1=CC=CC=C1C,CCCNC(C)C(=O)Nc1ccccc1C,1,CCCNC(C)C(=O)Nc1ccccc1C,"InChI=1S/C13H20N2O/c1-4-9-14-11(3)13(16)15-12-8-6-5-7-10(12)2/h5-8,11,14H,4,9H2,1-3H3,(H,15,16)",MVFGUOIZUNYYSO-UHFFFAOYSA-N,CHEMBL1194,FALSE
220,220,220,IMATINIB MESILATE,183,IMATINIB MESILATE,Chemical,C29H31N7O.CH4O3S,,YLMAHDNUQAMNNX-UHFFFAOYSA-N,,25/07/2019 11:55,19/12/2023 06:17,SUB12517MIG,1,8A1O1M485B,"InChI=1S/C29H31N7O.CH4O3S/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36;1-5(2,3)4/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34);1H3,(H,2,3,4)",CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,CS(=O)(=O)O.Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,1,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,"InChI=1S/C29H31N7O/c1-21-5-10-25(18-27(21)34-29-31-13-11-26(33-29)24-4-3-12-30-19-24)32-28(37)23-8-6-22(7-9-23)20-36-16-14-35(2)15-17-36/h3-13,18-19H,14-17,20H2,1-2H3,(H,32,37)(H,31,33,34)",KTUFNOKKBVMGRW-UHFFFAOYSA-N,CHEMBL941,FALSE
221,221,221,SILDENAFIL CITRATE,184,SILDENAFIL CITRATE,Chemical,C22H30N6O4S.C6H8O7,,DEIYFTQMQPDXOT-UHFFFAOYSA-N,,25/07/2019 11:55,20/12/2023 11:54,SUB04386MIG,1,BW9B0ZE037,"InChI=1S/C22H30N6O4S.C6H8O7/c1-5-7-17-19-20(27(4)25-17)22(29)24-21(23-19)16-14-15(8-9-18(16)32-6-2)33(30,31)28-12-10-26(3)11-13-28;7-3(8)1-6(13,5(11)12)2-4(9)10/h8-9,14H,5-7,10-13H2,1-4H3,(H,23,24,29);13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12.O=C(O)CC(O)(CC(=O)O)C(=O)O,1,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12,"InChI=1S/C22H30N6O4S/c1-5-7-17-19-20(27(4)25-17)22(29)24-21(23-19)16-14-15(8-9-18(16)32-6-2)33(30,31)28-12-10-26(3)11-13-28/h8-9,14H,5-7,10-13H2,1-4H3,(H,23,24,29)",BNRNXUUZRGQAQC-UHFFFAOYSA-N,CHEMBL192,FALSE
222,222,222,SELEXIPAG,185,SELEXIPAG,Chemical,C26H32N4O4S,,QXWZQTURMXZVHJ-UHFFFAOYSA-N,,25/07/2019 11:55,01/08/2023 06:31,SUB130805,1,5EXC0E384L,"InChI=1S/C26H32N4O4S/c1-20(2)30(16-10-11-17-34-19-24(31)29-35(3,32)33)23-18-27-25(21-12-6-4-7-13-21)26(28-23)22-14-8-5-9-15-22/h4-9,12-15,18,20H,10-11,16-17,19H2,1-3H3,(H,29,31)",CC(C)N(CCCCOCC(=O)NS(=O)(=O)C)C1=CN=C(C(=N1)C2=CC=CC=C2)C3=CC=CC=C3,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,1,CC(C)N(CCCCOCC(=O)NS(C)(=O)=O)c1cnc(-c2ccccc2)c(-c2ccccc2)n1,"InChI=1S/C26H32N4O4S/c1-20(2)30(16-10-11-17-34-19-24(31)29-35(3,32)33)23-18-27-25(21-12-6-4-7-13-21)26(28-23)22-14-8-5-9-15-22/h4-9,12-15,18,20H,10-11,16-17,19H2,1-3H3,(H,29,31)",QXWZQTURMXZVHJ-UHFFFAOYSA-N,CHEMBL238804,FALSE
223,223,223,BUPRENORPHINE HYDROCHLORIDE,186,BUPRENORPHINE HYDROCHLORIDE,Chemical,C29H41NO4.ClH,,UAIXRPCCYXNJMQ-RZIPZOSSSA-N,,25/07/2019 11:55,19/12/2023 13:20,SUB13133MIG,1,56W8MW3EN1,"InChI=1S/C29H41NO4.ClH/c1-25(2,3)26(4,32)20-15-27-10-11-29(20,33-5)24-28(27)12-13-30(16-17-6-7-17)21(27)14-18-8-9-19(31)23(34-24)22(18)28;/h8-9,17,20-21,24,31-32H,6-7,10-16H2,1-5H3;1H/t20-,21-,24-,26+,27-,28+,29-;/m1./s1",C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O.Cl,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5.Cl,1,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,"InChI=1S/C29H41NO4/c1-25(2,3)26(4,32)20-15-27-10-11-29(20,33-5)24-28(27)12-13-30(16-17-6-7-17)21(27)14-18-8-9-19(31)23(34-24)22(18)28/h8-9,17,20-21,24,31-32H,6-7,10-16H2,1-5H3/t20-,21-,24-,26+,27-,28+,29-/m1/s1",RMRJXGBAOAMLHD-IHFGGWKQSA-N,CHEMBL560511,FALSE
224,224,224,NALOXONE HYDROCHLORIDE DIHYDRATE,186,NALOXONE HYDROCHLORIDE DIHYDRATE,Chemical,C19H21NO4.ClH.2H2O,,TXMZWEASFRBVKY-IOQDSZRYSA-N,,25/07/2019 11:55,20/12/2023 16:20,SUB12168MIG,1,5Q187997EE,"InChI=1S/C19H21NO4.ClH.2H2O/c1-2-8-20-9-7-18-15-11-3-4-12(21)16(15)24-17(18)13(22)5-6-19(18,23)14(20)10-11;;;/h2-4,14,17,21,23H,1,5-10H2;1H;2*1H2/t14-,17+,18+,19-;;;/m1.../s1",C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O.O.O.Cl,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.Cl,1,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,"InChI=1S/C19H21NO4/c1-2-8-20-9-7-18-15-11-3-4-12(21)16(15)24-17(18)13(22)5-6-19(18,23)14(20)10-11/h2-4,14,17,21,23H,1,5-10H2/t14-,17+,18+,19-/m1/s1",UZHSEJADLWPNLE-GRGSLBFTSA-N,CHEMBL80,FALSE
225,225,225,BUPRENORPHINE HYDROCHLORIDE,187,BUPRENORPHINE HYDROCHLORIDE,Chemical,C29H41NO4.ClH,,UAIXRPCCYXNJMQ-RZIPZOSSSA-N,,25/07/2019 11:55,19/12/2023 13:20,SUB13133MIG,1,56W8MW3EN1,"InChI=1S/C29H41NO4.ClH/c1-25(2,3)26(4,32)20-15-27-10-11-29(20,33-5)24-28(27)12-13-30(16-17-6-7-17)21(27)14-18-8-9-19(31)23(34-24)22(18)28;/h8-9,17,20-21,24,31-32H,6-7,10-16H2,1-5H3;1H/t20-,21-,24-,26+,27-,28+,29-;/m1./s1",C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O.Cl,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5.Cl,1,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,"InChI=1S/C29H41NO4/c1-25(2,3)26(4,32)20-15-27-10-11-29(20,33-5)24-28(27)12-13-30(16-17-6-7-17)21(27)14-18-8-9-19(31)23(34-24)22(18)28/h8-9,17,20-21,24,31-32H,6-7,10-16H2,1-5H3/t20-,21-,24-,26+,27-,28+,29-/m1/s1",RMRJXGBAOAMLHD-IHFGGWKQSA-N,CHEMBL560511,FALSE
226,226,226,NALOXONE HYDROCHLORIDE DIHYDRATE,187,NALOXONE HYDROCHLORIDE DIHYDRATE,Chemical,C19H21NO4.ClH.2H2O,,TXMZWEASFRBVKY-IOQDSZRYSA-N,,25/07/2019 11:55,20/12/2023 16:20,SUB12168MIG,1,5Q187997EE,"InChI=1S/C19H21NO4.ClH.2H2O/c1-2-8-20-9-7-18-15-11-3-4-12(21)16(15)24-17(18)13(22)5-6-19(18,23)14(20)10-11;;;/h2-4,14,17,21,23H,1,5-10H2;1H;2*1H2/t14-,17+,18+,19-;;;/m1.../s1",C=CCN1CC[C@]23[C@@H]4C(=O)CC[C@]2([C@H]1CC5=C3C(=C(C=C5)O)O4)O.O.O.Cl,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5.Cl,1,C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,"InChI=1S/C19H21NO4/c1-2-8-20-9-7-18-15-11-3-4-12(21)16(15)24-17(18)13(22)5-6-19(18,23)14(20)10-11/h2-4,14,17,21,23H,1,5-10H2/t14-,17+,18+,19-/m1/s1",UZHSEJADLWPNLE-GRGSLBFTSA-N,CHEMBL80,FALSE
227,227,227,COPPER (64CU) CHLORIDE,188,COPPER (64CU) CHLORIDE,Chemical,2Cl.Cu,,ORTQZVOHEJQUHG-OUMJLSBWSA-L,,25/07/2019 11:55,17/05/2023 13:29,SUB77003,1,3IGV2Y2378,InChI=1S/2ClH.Cu/h2*1H;/q;;+2/p-2/i;;1+0,Cl[64Cu]Cl,Cl[64Cu]Cl,1,Cl[Cu]Cl,InChI=1S/2ClH.Cu/h2*1H;/q;;+2/p-2,ORTQZVOHEJQUHG-UHFFFAOYSA-L,,TRUE
228,228,228,CLOPIDOGREL HYDROCHLORIDE,189,CLOPIDOGREL HYDROCHLORIDE,Chemical,C16H16ClNO2S.ClH,,XIHVAFJSGWDBGA-RSAXXLAASA-N,,25/07/2019 11:55,17/05/2023 13:25,SUB30779,1,426O7XWS6Y,"InChI=1S/C16H16ClNO2S.ClH/c1-20-16(19)15(12-4-2-3-5-13(12)17)18-8-6-14-11(10-18)7-9-21-14;/h2-5,7,9,15H,6,8,10H2,1H3;1H/t15-;/m0./s1",COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3.Cl,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1.Cl,1,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1,"InChI=1S/C16H16ClNO2S/c1-20-16(19)15(12-4-2-3-5-13(12)17)18-8-6-14-11(10-18)7-9-21-14/h2-5,7,9,15H,6,8,10H2,1H3/t15-/m0/s1",GKTWGGQPFAXNFI-HNNXBMFYSA-N,CHEMBL1771,FALSE
229,229,229,TOLVAPTAN,190,TOLVAPTAN,Chemical,C26H25ClN2O3,,GYHCTFXIZSNGJT-UHFFFAOYSA-N,,25/07/2019 11:55,15/09/2023 11:14,SUB22755,1,21G72T1950,"InChI=1S/C26H25ClN2O3/c1-16-6-3-4-7-20(16)25(31)28-19-10-11-21(17(2)14-19)26(32)29-13-5-8-24(30)22-15-18(27)9-12-23(22)29/h3-4,6-7,9-12,14-15,24,30H,5,8,13H2,1-2H3,(H,28,31)",CC1=CC=CC=C1C(=O)NC2=CC(=C(C=C2)C(=O)N3CCCC(C4=C3C=CC(=C4)Cl)O)C,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,1,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,"InChI=1S/C26H25ClN2O3/c1-16-6-3-4-7-20(16)25(31)28-19-10-11-21(17(2)14-19)26(32)29-13-5-8-24(30)22-15-18(27)9-12-23(22)29/h3-4,6-7,9-12,14-15,24,30H,5,8,13H2,1-2H3,(H,28,31)",GYHCTFXIZSNGJT-UHFFFAOYSA-N,CHEMBL344159,FALSE
230,230,230,MEMANTINE HYDROCHLORIDE,191,MEMANTINE HYDROCHLORIDE,Chemical,C12H21N.ClH,,LDDHMLJTFXJGPI-UHFFFAOYSA-N,,25/07/2019 11:55,19/12/2023 14:52,SUB03137MIG,1,JY0WD0UA60,"InChI=1S/C12H21N.ClH/c1-10-3-9-4-11(2,6-10)8-12(13,5-9)7-10;/h9H,3-8,13H2,1-2H3;1H",CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl,CC12CC3CC(C)(C1)CC(N)(C3)C2.Cl,1,CC12CC3CC(C)(C1)CC(N)(C3)C2,"InChI=1S/C12H21N/c1-10-3-9-4-11(2,6-10)8-12(13,5-9)7-10/h9H,3-8,13H2,1-2H3",BUGYDGFZZOZRHP-UHFFFAOYSA-N,CHEMBL807,FALSE
