Column1,Category,Medicine name,Therapeutic area,International non-proprietary name (INN) / common name,Active substance,Product number,Patient safety,Authorisation status,ATC code,Additional monitoring,Generic,Conditional approval,Exceptional circumstances,Accelerated assessment,Orphan medicine,Marketing authorisation date,Date of refusal of marketing authorisation,Marketing authorisation holder/company name,Human pharmacotherapeutic group,Date of opinion,Decision date,Revision number,Condition / indication,First published,Revision date,URL,InChI_Keys,PDF_URL
401,Human,Ledaga,Mycosis Fungoides,chlormethine,['CHLORMETHINE'],EMEA/H/C/002826,no,Authorised,L01AA05,no,no,no,no,no,yes,03/03/2017,,Helsinn Birex Pharmaceuticals Ltd.,Antineoplastic agents,15/12/2016,07/09/2023,9,Ledaga is indicated for the topical treatment of mycosis fungoides-type cutaneous T-cell lymphoma (MF-type CTCL) in adult patients.,20/11/2017,11/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/ledaga,['HAWPXGHAZFHHAD-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/ledaga-epar-product-information_en.pdf
402,Human,Abiraterone Mylan,Prostatic Neoplasms,abiraterone acetate,['ABIRATERONE ACETATE'],EMEA/H/C/005368,no,Authorised,L02BX03,no,yes,no,no,no,no,20/08/2021,,Mylan Ireland Limited,"Endocrine therapy, Other hormone antagonists and related agents",24/06/2021,05/09/2023,4,Abiraterone Mylan is indicated with prednisone or prednisolone for:the treatment of newly diagnosed high risk metastatic hormone sensitive prostate cancer (mHSPC) in adult men in combination with androgen deprivation therapy (ADT).the treatment of metastatic castration resistant prostate cancer (mCRPC) in adult men who are asymptomatic or mildly symptomatic after failure of androgen deprivation therapy in whom chemotherapy is not yet clinically indicated.the treatment of mCRPC in adult men whose disease has progressed on or after a docetaxel based chemotherapy regimen.,26/08/2021,11/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/abiraterone-mylan,['UVIQSJCZCSLXRZ-UBUQANBQSA-N'],https://www.ema.europa.eu/en/documents/product-information/abiraterone-mylan-epar-product-information_en.pdf
403,Human,Lonsurf,Colorectal Neoplasms,"trifluridine, tipiracil","['TRIFLURIDINE', 'TIPIRACIL HYDROCHLORIDE']",EMEA/H/C/003897,no,Authorised,L01BC59,no,no,no,no,no,no,25/04/2016,,Les Laboratoires Servier,Antineoplastic agents,25/02/2016,26/07/2023,9,"Colorectal cancerLonsurf is indicated in combination with bevacizumab for the treatment of adult patients with metastatic colorectal cancer (CRC) who have received two prior anticancer treatment regimens including fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapies, anti-VEGF agents, and/or anti-EGFR agents.Lonsurf is indicated as monotherapy for the treatment of adult patients with metastatic colorectal cancer (CRC) who have been previously treated with, or are not considered candidates for, available therapies including fluoropyrimidine-, oxaliplatin- and irinotecan-based chemotherapies, anti-VEGF agents, and anti EGFR agentsGastric cancerLonsurf is indicated as monotherapy for the treatment of adult patients with metastatic gastric cancer including adenocarcinoma of the gastroesophageal junction, who have been previously treated with at least two prior systemic treatment regimens for advanced disease.",14/08/2017,11/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/lonsurf,"['VSQQQLOSPVPRAZ-RRKCRQDMSA-N', 'KGHYQYACJRXCAT-UHFFFAOYSA-N']",https://www.ema.europa.eu/en/documents/product-information/lonsurf-epar-product-information_en.pdf
406,Human,Aripiprazole Mylan Pharma (previously Aripiprazole Pharmathen),Schizophrenia;  Bipolar Disorder,aripiprazole,['ARIPIPRAZOLE'],EMEA/H/C/003803,no,Authorised,N05AX12,no,yes,no,no,no,no,30/06/2015,,Mylan Pharmaceuticals Limited,Psycholeptics,23/04/2015,06/09/2023,16,Aripiprazole Mylan Pharma is indicated for the treatment of schizophrenia in adults and in adolescents aged 15 years and older.Aripiprazole Mylan Pharma is indicated for the treatment of moderate to severe manic episodes in Bipolar I Disorder and for the prevention of a new manic episode in adults who experienced predominantly manic episodes and whose manic episodes responded to aripiprazole treatment.Aripiprazole Mylan Pharma is indicated for the treatment up to 12 weeks of moderate to severe manic episodes in Bipolar I Disorder in adolescents aged 13 years and older.,02/02/2018,08/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/aripiprazole-mylan-pharma,['CEUORZQYGODEFX-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/aripiprazole-mylan-pharma-epar-product-information_en.pdf
407,Human,Dimethyl fumarate Mylan,"Multiple Sclerosis, Relapsing-Remitting",dimethyl fumarate,['DIMETHYL FUMARATE'],EMEA/H/C/005956,no,Authorised,L04AX07,no,yes,no,no,no,no,13/05/2022,,Mylan Ireland Limited,Immunosuppressants,24/02/2022,05/09/2023,4,Dimethyl fumarate Mylan is indicated for the treatment of adult patients with relapsing remitting multiple sclerosis.,22/02/2022,08/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/dimethyl-fumarate-mylan,['LDCRTTXIJACKKU-ONEGZZNKSA-N'],https://www.ema.europa.eu/en/documents/product-information/dimethyl-fumarate-mylan-epar-product-information_en.pdf
409,Human,Akynzeo,Vomiting;  Neoplasms;  Nausea;  Cancer,"netupitant, palonosetron","['NETUPITANT', 'PALONOSETRON HYDROCHLORIDE']",EMEA/H/C/003728,no,Authorised,A04AA,no,no,no,no,no,no,27/05/2015,,Helsinn Birex Pharmaceuticals Ltd,"Antiemetics and antinauseants, ",26/03/2015,05/09/2023,16,Akynzeo is indicated in adults for the:Prevention of acute and delayed nausea and vomiting associated with highly emetogenic cisplatin based cancer chemotherapy.Prevention of acute and delayed nausea and vomiting associated with moderately emetogenic cancer chemotherapy.,12/04/2018,08/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/akynzeo,"['WAXQNWCZJDTGBU-UHFFFAOYSA-N', 'OLDRWYVIKMSFFB-SSPJITILSA-N']",https://www.ema.europa.eu/en/documents/product-information/akynzeo-epar-product-information_en.pdf
410,Human,Esbriet,Idiopathic Pulmonary Fibrosis;  Lung Diseases;  Respiratory Tract Diseases,pirfenidone,['PIRFENIDONE'],EMEA/H/C/002154,no,Authorised,L04AX05,no,no,no,no,no,no,27/02/2011,,Roche Registration GmbH,Immunosuppressants,16/12/2010,24/03/2023,33,Esbriet is indicated in adults for the treatment of idiopathic pulmonary fibrosis.,17/04/2018,08/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/esbriet,['ISWRGOKTTBVCFA-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/esbriet-epar-product-information_en.pdf
414,Human,Irbesartan Teva,Hypertension,irbesartan,['IRBESARTAN'],EMEA/H/C/001093,no,Authorised,C09CA04,no,yes,no,no,no,no,30/10/2009,,Teva B.V.,Agents acting on the renin-angiotensin system,23/07/2009,01/09/2023,16,Treatment of essential hypertension.Treatment of renal disease in patients with hypertension and type 2 diabetes mellitus as part of an antihypertensive medicinal product regimen.,31/08/2016,05/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/irbesartan-teva,['YOSHYTLCDANDAN-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/irbesartan-teva-epar-product-information_en.pdf
415,Human,Zolsketil pegylated liposomal,"Ovarian Neoplasms;  Sarcoma, Kaposi;  Multiple Myeloma",doxorubicin,"['DOXORUBICIN HYDROCHLORIDE', 'LIPOSOMAL']",EMEA/H/C/005320,no,Authorised,L01DB01,no,no,no,no,no,no,31/05/2022,,Accord Healthcare S.L.U.,doxorubicin,24/03/2022,23/08/2023,2,"Zolsketil pegylated liposomal is a medicine used to treat the following types of cancer in adults:• breast cancer that has spread to other parts of the body in patients at risk of heart problems. Zolsketil pegylated liposomal is used on its own for this disease;• advanced ovarian cancer in women whose previous treatment including a platinum-based cancer medicine has stopped working;• multiple myeloma (a cancer of the white blood cells in the bone marrow), in patients with progressive disease who have received at least one other treatment in the past and have already had, or are unsuitable for, a bone marrow transplantation. Zolsketil pegylated liposomal is used in combination with bortezomib (another cancer medicine);• Kaposi’s sarcoma in patients with AIDS who have a very damaged immune system. Kaposi’s sarcoma is a cancer that causes abnormal tissue to grow under the skin, on moist body surfaces or on internal organs.Zolsketil pegylated liposomal contains the active substance doxorubicin and is a ‘hybrid medicine’. This means that it is similar to a ‘reference medicine’ containing the same active substance called Adriamycin. However, in Zolsketil pegylated liposomal the active substance is enclosed in tiny fatty spheres called liposomes, whereas this is not the case for Adriamycin.",20/06/2022,05/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/zolsketil-pegylated-liposomal,"['MWWSFMDVAYGXBV-RUELKSSGSA-N', 'not found']",https://www.ema.europa.eu/en/documents/product-information/zolsketil-pegylated-liposomal-epar-product-information_en.pdf
416,Human,Celdoxome pegylated liposomal,"Breast Neoplasms;  Ovarian Neoplasms;  Multiple Myeloma;  Sarcoma, Kaposi",doxorubicin hydrochloride,['DOXORUBICIN HYDROCHLORIDE'],EMEA/H/C/005330,no,Authorised,L01DB01,no,no,no,no,no,no,15/09/2022,,YES Pharmaceutical Development Services GmbH,Antineoplastic agents,21/07/2022,23/08/2023,2,"Celdoxome pegylated liposomal is indicated in adults:as monotherapy for patients with metastatic breast cancer, where there is an increased cardiac risk.or treatment of advanced ovarian cancer in women who have failed a first-line platinum-based chemotherapy regimen.in combination with bortezomib for the treatment of progressive multiple myeloma in patients who have received at least one prior therapy and who have already undergone or are unsuitable for bone marrow transplant.for treatment of AIDS-related Kaposi’s sarcoma (KS) in patients with low CD4 counts (< 200 CD4 lymphocytes/mm3) and extensive mucocutaneous or visceral disease.Celdoxome pegylated liposomal may be used as first-line systemic chemotherapy, or as second line chemotherapy in AIDS-KS patients with disease that has progressed with, or in patients intolerant to, prior combination systemic chemotherapy comprising at least two of the following agents: a vinca alkaloid, bleomycin and standard doxorubicin (or other anthracycline).",20/06/2022,05/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/celdoxome-pegylated-liposomal,['MWWSFMDVAYGXBV-RUELKSSGSA-N'],https://www.ema.europa.eu/en/documents/product-information/celdoxome-pegylated-liposomal-epar-product-information_en.pdf
417,Human,Caelyx pegylated liposomal,"Sarcoma, Kaposi;  Multiple Myeloma;  Ovarian Neoplasms;  Breast Neoplasms",doxorubicin,['DOXORUBICIN HYDROCHLORIDE'],EMEA/H/C/000089,no,Authorised,L01DB,no,no,no,no,no,no,20/06/1996,,Baxter Holding B.V.,Antineoplastic agents,15/02/1996,25/08/2023,36,"Caelyx pegylated liposomal is indicated:as monotherapy for patients with metastatic breast cancer, where there is an increased cardiac risk;for treatment of advanced ovarian cancer in women who have failed a first-line platinum-based chemotherapy regimen;in combination with bortezomib for the treatment of progressive multiple myeloma in patients who have received at least one prior therapy and who have already undergone or are unsuitable for bone marrow transplant;for treatment of AIDS-related Kaposi’s sarcoma (KS) in patients with low CD4 counts (",22/05/2018,05/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/caelyx-pegylated-liposomal,['MWWSFMDVAYGXBV-RUELKSSGSA-N'],https://www.ema.europa.eu/en/documents/product-information/caelyx-pegylated-liposomal-epar-product-information_en.pdf
418,Human,Revinty Ellipta,Asthma,"fluticasone furoate, vilanterol","['FLUTICASONE FUROATE', 'VILANTEROL TRIFENATATE']",EMEA/H/C/002745,no,Authorised,R03AK10,no,no,no,no,no,no,02/05/2014,,GlaxoSmithKline (Ireland) Limited,Adrenergics and other drugs for obstructive airway diseases,20/03/2014,06/07/2023,22,"Asthma IndicationRevinty Ellipta is indicated in the regular treatment of asthma in adults and adolescents aged 12 years and older, where use of a combination product (long-acting beta2-agonist and inhaled corticosteroid) is appropriate:patients not adequately controlled with inhaled corticosteroids and “as needed” inhaled short acting beta2-agonists.COPD IndicationRevinty Ellipta is indicated for the symptomatic treatment of adults with COPD with a FEV1 ",21/08/2018,04/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/revinty-ellipta,"['XTULMSXFIHGYFS-VLSRWLAYSA-N', 'KLOLZALDXGTNQE-JIDHJSLPSA-N']",https://www.ema.europa.eu/en/documents/product-information/revinty-ellipta-epar-product-information_en.pdf
419,Human,Vumerity,"Multiple Sclerosis, Relapsing-Remitting",diroximel fumarate,['DIROXIMEL FUMARATE (BIIB098)'],EMEA/H/C/005437,no,Authorised,L04AX07,no,no,no,no,no,no,15/11/2021,,Biogen Netherlands B.V.,Immunosuppressants,16/09/2021,25/08/2023,4,Vumerity is indicated for the treatment of adult patients with relapsing remitting multiple sclerosis (see Section 5.1 for important information on the populations for which efficacy has been established).,14/09/2021,04/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/vumerity,['not found'],https://www.ema.europa.eu/en/documents/product-information/vumerity-epar-product-information_en.pdf
421,Human,Revolade,"Purpura, Thrombocytopenic, Idiopathic",eltrombopag,['ELTROMBOPAG'],EMEA/H/C/001110,no,Authorised,B02BX05,no,no,no,no,no,no,11/03/2010,,Novartis Europharm Limited,"Other systemic hemostatics, Antihemorrhagics",17/12/2009,17/08/2023,34,"Revolade is indicated for the treatment of adult patients with primary immune thrombocytopenia (ITP) who are refractory to other treatments (e.g. corticosteroids, immunoglobulins) (see sections 4.2 and 5.1).Revolade is indicated for the treatment of paediatric patients aged 1 year and above with primary immune thrombocytopenia (ITP) lasting 6 months or longer from diagnosis and who are refractory to other treatments (e.g. corticosteroids, immunoglobulins) (see sections 4.2 and 5.1).Revolade is indicated in adult patients with chronic hepatitis C virus (HCV) infection for the treatment of thrombocytopenia, where the degree of thrombocytopenia is the main factor preventing the initiation or limiting the ability to maintain optimal interferon-based therapy (see sections 4.4 and 5.1).Revolade is indicated in adult patients with acquired severe aplastic anaemia (SAA) who were either refractory to prior immunosuppressive therapy or heavily pretreated and are unsuitable for haematopoietic stem cell transplantation (see section 5.1).",06/07/2018,01/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/revolade,['XDXWLKQMMKQXPV-QYQHSDTDSA-N'],https://www.ema.europa.eu/en/documents/product-information/revolade-epar-product-information_en.pdf
422,Human,Tafinlar,Melanoma,dabrafenib,['DABRAFENIB MESILATE'],EMEA/H/C/002604,no,Authorised,L01EC02,no,no,no,no,no,no,26/08/2013,,Novartis Europharm Limited,Antineoplastic agents,27/06/2013,16/08/2023,29,"MelanomaDabrafenib as monotherapy or in combination with trametinib is indicated for the treatment of adult patients with unresectable or metastatic melanoma with a BRAF V600 mutation (see sections 4.4 and 5.1).Adjuvant treatment of melanomaDabrafenib in combination with trametinib is indicated for the adjuvant treatment of adult patients with Stage III melanoma with a BRAF V600 mutation, following complete resection.Non-small cell lung cancer (NSCLC)Dabrafenib in combination with trametinib is indicated for the treatment of adult patients with advanced non-small cell lung cancer with a BRAF V600 mutation.",27/08/2018,01/09/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/tafinlar,['YKGMKSIHIVVYKY-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/tafinlar-epar-product-information_en.pdf
423,Human,Adempas,"Hypertension, Pulmonary",riociguat,['RIOCIGUAT'],EMEA/H/C/002737,no,Authorised,C02KX05,no,no,no,no,no,no,27/03/2014,,Bayer AG,Antihypertensives for pulmonary arterial hypertension,23/01/2014,31/05/2023,13,"Chronic thromboembolic pulmonary hypertension (CTEPH)Adempas is indicated for the treatment of adult patients with WHO Functional Class (FC) II to III withinoperable CTEPH,persistent or recurrent CTEPH after surgical treatment,to improve exercise capacity.Pulmonary arterial hypertension (PAH)AdultsAdempas, as monotherapy or in combination with endothelin receptor antagonists, is indicated for the treatment of adult patients with pulmonary arterial hypertension (PAH) with WHO Functional Class (FC) II to III to improve exercise capacity.Efficacy has been shown in a PAH population including aetiologies of idiopathic or heritable PAH or PAH associated with connective tissue disease.PaediatricsAdempas is indicated for the treatment of PAH in paediatric patients aged less than 18 years of age and body weight ? 50 kg with WHO Functional Class (FC) II to III in combination with endothelin receptor antagonists. ",07/03/2018,31/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/adempas,['WXXSNCNJFUAIDG-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/adempas-epar-product-information_en.pdf
424,Human,Eurartesim,Malaria,"piperaquine tetraphosphate, artenimol","['PIPERAQUINE TETRAPHOSPHATE', 'ARTENIMOL']",EMEA/H/C/001199,no,Authorised,P01BF05,no,no,no,no,no,no,27/10/2011,,Alfasigma S.p.A.,Antiprotozoals,,25/08/2023,13,"Eurartesim is indicated for the treatment of uncomplicated Plasmodium falciparum malaria in adults, children and infants 6 months and over and weighing 5 kg or more.Consideration should be given to official guidance on the appropriate use of antimalarial agents.",14/09/2017,30/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/eurartesim,"['OAKKJVUSSVZQRF-UHFFFAOYSA-N', 'BJDCWCLMFKKGEE-ISOSDAIHSA-N']",https://www.ema.europa.eu/en/documents/product-information/eurartesim-epar-product-information_en.pdf
425,Human,Reyataz,HIV Infections,atazanavir sulfate,['ATAZANAVIR (AS SULFATE)'],EMEA/H/C/000494,no,Authorised,J05AE08,no,no,no,no,no,no,01/03/2004,,Bristol-Myers Squibb Pharma EEIG,Antivirals for systemic use,,25/08/2023,54,"Reyataz capsules, co-administered with low dose ritonavir, are indicated for the treatment of HIV-1 infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products (see section 4.2).Based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors (? 4 PI mutations).The choice of Reyataz in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patient’s treatment history (see sections 4.4 and 5.1).Reyataz oral powder, co-administered with low dose ritonavir, is indicated in combination with other antiretroviral medicinal products for the treatment of HIV-1 infected paediatric patients at least 3 months of age and weighing at least 5 kg (see section 4.2).Based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors (? 4 PI mutations). The choice of Reyataz in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patient’s treatment history (see sections 4.4 and 5.1).",22/02/2018,30/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/reyataz,['not found'],https://www.ema.europa.eu/en/documents/product-information/reyataz-epar-product-information_en.pdf
426,Human,Qinlock,Gastrointestinal Stromal Tumors,ripretinib,['RIPRETINIB'],EMEA/H/C/005614,no,Authorised,L01,yes,no,no,no,no,yes,18/11/2021,,Deciphera Pharmaceuticals (Netherlands) B.V.,Antineoplastic agents,16/09/2021,21/06/2023,5,"Qinlock is indicated for the treatment of adult patients with advanced gastrointestinal stromal tumour (GIST) who have received prior treatment with three or more kinase inhibitors, including imatinib.",23/11/2021,30/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/qinlock,['CEFJVGZHQAGLHS-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/qinlock-epar-product-information_en.pdf
429,Human,Rinvoq,"Arthritis, Rheumatoid",upadacitinib,['UPADACITINIB'],EMEA/H/C/004760,yes,Authorised,L04AA44,yes,no,no,no,no,no,16/12/2019,,AbbVie Deutschland GmbH & Co. KG,Immunosuppressants,17/10/2019,20/07/2023,17,"Rheumatoid arthritisRINVOQ is indicated for the treatment of moderate to severe active rheumatoid arthritis in adult patients who have responded inadequately to, or who are intolerant to one or more disease-modifying anti-rheumatic drugs (DMARDs). RINVOQ may be used as monotherapy or in combination with methotrexate.Psoriatic arthritisRINVOQ is indicated for the treatment of active psoriatic arthritis in adult patients who have responded inadequately to, or who are intolerant to one or more DMARDs. RINVOQ may be used as monotherapy or in combination with methotrexate.Axial spondyloarthritisNon-radiographic axial spondyloarthritis (nr-axSpA)RINVOQ is indicated for the treatment of active non-radiographic axial spondyloarthritis in adult patients with objective signs of inflammation as indicated by elevated C-reactive protein (CRP) and/or magnetic resonance imaging (MRI), who have responded inadequately to nonsteroidal anti-inflammatory drugs (NSAIDs).Ankylosing spondylitis (AS, radiographic axial spondyloarthritis)RINVOQ is indicated for the treatment of active ankylosing spondylitis in adult patients who have responded inadequately to conventional therapy.Atopic dermatitisRINVOQ is indicated for the treatment of moderate to severe atopic dermatitis in adults and adolescents 12 years and older who are candidates for systemic therapy.Ulcerative colitisRINVOQ is indicated for the treatment of adult patients with moderately to severely active ulcerative colitis who have had an inadequate response, lost response or were intolerant to either conventional therapy or a biologic agent. Crohn’s diseaseRINVOQ is indicated for the treatment of adult patients with moderately to severely active Crohn’s disease who have had an inadequate response, lost response or were intolerant to either conventional therapy or a biologic agent.",18/10/2019,29/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/rinvoq,['WYQFJHHDOKWSHR-MNOVXSKESA-N'],https://www.ema.europa.eu/en/documents/product-information/rinvoq-epar-product-information_en.pdf
434,Human,Actos,"Diabetes Mellitus, Type 2",pioglitazone,['PIOGLITAZONE HYDROCHLORIDE'],EMEA/H/C/000285,no,Authorised,A10BG03,no,no,no,no,no,no,13/10/2000,,CHEPLAPHARM Arzneimittel GmbH,Drugs used in diabetes,,11/08/2023,30,"Pioglitazone is indicated in the treatment of type-2 diabetes mellitus:as monotherapy:in patients (particularly overweight patients) inadequately controlled by diet and exercise for whom metformin is inappropriate because of contraindications or intolerance;as dual oral therapy in combination with:metformin, in patients (particularly overweight patients) with insufficient glycaemic control despite maximal tolerated dose of monotherapy with metformin;a sulphonylurea, only in patients who show intolerance to metformin or for whom metformin is contraindicated, with insufficient glycaemic control despite maximal tolerated dose of monotherapy with a sulphonylurea;as triple oral therapy in combination with:metformin and a sulphonylurea, in patients (particularly overweight patients) with insufficient glycaemic control despite dual oral therapy.Pioglitazone is also indicated for combination with insulin in type-2 diabetes mellitus patients with insufficient glycaemic control on insulin for whom metformin is inappropriate because of contraindications or intolerance.",26/05/2016,28/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/actos,['GHUUBYQTCDQWRA-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/actos-epar-product-information_en.pdf
435,Human,Cerdelga,Gaucher Disease,eliglustat,['ELIGLUSTAT'],EMEA/H/C/003724,no,Authorised,A16AX10,yes,no,no,no,no,yes,19/01/2015,,Sanofi B.V.,"Other alimentary tract and metabolism products, ",20/11/2014,29/06/2023,16,"Cerdelga is indicated for the long-term treatment of adult patients with Gaucher disease type 1 (GD1), who are CYP2D6 poor metabolisers (PMs), intermediate metabolisers (IMs) or extensive metabolisers (EMs).",07/06/2018,28/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/cerdelga,['FJZZPCZKBUKGGU-AUSIDOKSSA-N'],https://www.ema.europa.eu/en/documents/product-information/cerdelga-epar-product-information_en.pdf
440,Human,Arava,"Arthritis, Rheumatoid;  Arthritis, Psoriatic",leflunomide,['LEFLUNOMIDE'],EMEA/H/C/000235,no,Authorised,L04AA13,no,no,no,no,no,no,02/09/1999,,Sanofi-aventis Deutschland GmbH,Immunosuppressants,20/05/1999,26/06/2023,41,"Leflunomide is indicated for the treatment of adult patients with:active rheumatoid arthritis as a 'disease-modifying antirheumatic drug' (DMARD);active psoriatic arthritis.Recent or concurrent treatment with hepatotoxic or haematotoxic DMARDs (e.g. methotrexate) may result in an increased risk of serious adverse reactions; therefore, the initiation of leflunomide treatment has to be carefully considered regarding these benefit / risk aspects.Moreover, switching from leflunomide to another DMARD without following the washout procedure may also increase the risk of serious adverse reactions even for a long time after the switching.",09/04/2018,25/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/arava,['VHOGYURTWQBHIL-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/arava-epar-product-information_en.pdf
441,Human,Pirfenidone axunio (previously Pirfenidone AET),Idiopathic Pulmonary Fibrosis,pirfenidone,['PIRFENIDONE'],EMEA/H/C/005873,no,Authorised,L04AX05,no,yes,no,no,no,no,20/06/2022,,Axunio Pharma GmbH,Immunosuppressants,22/04/2022,26/07/2023,3,Pirfenidone AET is indicated in adults for the treatment of mild to moderate idiopathic pulmonary fibrosis (IPF).,28/06/2022,25/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/pirfenidone-axunio-previously-pirfenidone-aet,['ISWRGOKTTBVCFA-UHFFFAOYSA-N'],https://www.ema.europa.eu/en/documents/product-information/pirfenidone-axunio-epar-product-information_en.pdf
442,Human,Duloxetine Mylan,"Neuralgia;  Diabetic Neuropathies;  Depressive Disorder, Major;  Anxiety Disorders",duloxetine,['DULOXETINE'],EMEA/H/C/003981,no,Authorised,N06AX21,no,yes,no,no,no,no,19/06/2015,,Mylan Pharmaceuticals Limited,"Psychoanaleptics, ",23/04/2015,24/08/2023,18,Treatment of major depressive disorder;Treatment of diabetic peripheral neuropathic pain;Treatment of generalised anxiety disorder;Duloxetine Mylan is indicated in adults.,03/08/2018,25/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/duloxetine-mylan,['ZEUITGRIYCTCEM-KRWDZBQOSA-N'],https://www.ema.europa.eu/en/documents/product-information/duloxetine-mylan-epar-product-information_en.pdf
443,Human,Efmody,"Adrenal Hyperplasia, Congenital",hydrocortisone,['HYDROCORTISONE'],EMEA/H/C/005105,no,Authorised,H02AB09,no,no,no,no,no,no,27/05/2021,,Diurnal Europe B.V.,Corticosteroids for systemic use,25/03/2021,23/08/2023,3,Treatment of congenital adrenal hyperplasia (CAH) in adolescents aged 12 years and over and adults.,24/03/2021,25/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/efmody,['JYGXADMDTFJGBT-VWUMJDOOSA-N'],https://www.ema.europa.eu/en/documents/product-information/efmody-epar-product-information_en.pdf
444,Human,Ecansya (previously Capecitabine Krka),Colonic Neoplasms;  Breast Neoplasms;  Colorectal Neoplasms;  Stomach Neoplasms,capecitabine,['CAPECITABINE'],EMEA/H/C/002605,no,Authorised,L01BC06,no,yes,no,no,no,no,20/04/2012,,"Krka, d.d., Novo mesto",Antineoplastic agents,,24/08/2023,15,Ecansya is indicated for the adjuvant treatment of patients following surgery of stage-III (Dukes’ stage-C) colon cancer.Ecansya is indicated for the treatment of metastatic colorectal cancer.Ecansya is indicated for first-line treatment of advanced gastric cancer in combination with a platinum-based regimen.Ecansya in combination with docetaxel is indicated for the treatment of patients with locally advanced or metastatic breast cancer after failure of cytotoxic chemotherapy. Previous therapy should have included an anthracycline. Ecansya is also indicated as monotherapy for the treatment of patients with locally advanced or metastatic breast cancer after failure of taxanes and an anthracycline containing chemotherapy regimen or for whom further anthracycline therapy is not indicated.,09/12/2016,25/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/ecansya,['GAGWJHPBXLXJQN-UORFTKCHSA-N'],https://www.ema.europa.eu/en/documents/product-information/ecansya-epar-product-information_en.pdf
445,Human,Diacomit,"Myoclonic Epilepsy, Juvenile",stiripentol,['STIRIPENTOL'],EMEA/H/C/000664,no,Authorised,N03AX17,no,no,no,no,no,no,03/01/2007,11/02/2009,Biocodex,"Antiepileptics, ",,25/04/2023,18,"Diacomit is indicated for use in conjunction with clobazam and valproate as adjunctive therapy of refractory generalized tonic-clonic seizures in patients with severe myoclonic epilepsy in infancy (SMEI, Dravet's syndrome) whose seizures are not adequately controlled with clobazam and valproate.",23/06/2014,25/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/diacomit,['IBLNKMRFIPWSOY-FNORWQNLSA-N'],https://www.ema.europa.eu/en/documents/product-information/diacomit-epar-product-information_en.pdf
446,Human,Aquipta,Migraine Disorders,atogepant,['ATOGEPANT'],EMEA/H/C/005871,no,Authorised,N02CD07,yes,no,no,no,no,no,11/08/2023,,AbbVie Deutschland GmbH & Co. KG,,22/06/2023,,,Aquipta is indicated for prophylaxis of migraine in adults who have at least 4 migraine days per month,19/06/2023,25/08/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/aquipta,['QIVUCLWGARAQIO-OLIXTKCUSA-N'],https://www.ema.europa.eu/en/documents/product-information/aquipta-epar-product-information_en.pdf
