d,Cleaned Excipients,Indices,Excipients_Controlled
36,"['TABLET CORE', 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'CROSCARMELLOSE SODIUM', 'HYPROMELLOSE', 'SODIUM LAURILSULFATE', 'MAGNESIUM STEARATE', 'FILM-COAT', 'POLY(VINYL ALCOHOL)', 'MACROGOL 3350', 'TALC', 'TITANIUM DIOXIDE (E171)', 'FERRIC OXIDE RED (E172)']","[174, 154, 2442, 399, 1308, 2505, 834, 2726, 2179, 2650, 941, 20, 1578]","[nan, 'MICROCRYSTALLINE CELLULOSE', 'LACTOSE MONOHYDRATE', 'CROSCARMELLOSE SODIUM', 'HYPROMELLOSE', 'SODIUM LAURIL SULFATE', 'MAGNESIUM STEARATE', nan, 'POLYVINYL ALCOHOL', 'POLYETHYLENE GLYCOL', 'TALC', 'TITANIUM DIOXIDE', 'IRON OXIDE']"
497,"['TABLET CORE', 'CROSCARMELLOSE SODIUM', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'MICROCRYSTALLINE CELLULOSE.', 'FILM-COATING', '200 MG TABLETS:', 'POLYVINYL ALCOHOL', 'TITANIUM DIOXIDE (E171)', 'TALC (E553B)', 'IRON OXIDE YELLOW (E172).', 'LECITHIN (SOY)', 'XANTHAN GUM']","[174, 399, 1308, 834, 363, 2402, 327, 633, 20, 982, 2012, 357, 1572]","[nan, 'CROSCARMELLOSE SODIUM', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'MICROCRYSTALLINE CELLULOSE', nan, nan, 'POLYVINYL ALCOHOL', 'TITANIUM DIOXIDE', 'TALC', 'IRON OXIDE', 'LECITHIN', 'XANTHAN GUM']"
616,"['THE ORAL POWDER CONTAINS:', '-', '-', '-', '-', '-', '-', '-', '-', 'MICROCRYSTALLINE CELLULOSE', 'MALTODEXTRIN', 'DIBASIC POTASSIUM PHOSPHATE', 'CROSPOVIDONE', 'HYDROXYPROPYL METHYLCELLULOSE', 'ASPARTAME (E951)', 'SUCROSE PALMITATE', 'NATURAL AND ARTIFICIAL FLAVOUR']","[1460, 2072, 2072, 2072, 2072, 2072, 2072, 2072, 2072, 154, 824, 1557, 839, 122, 744, 2302, 1393]","[nan, nan, nan, nan, nan, nan, nan, nan, nan, 'MICROCRYSTALLINE CELLULOSE', 'MALTODEXTRIN', 'DIBASIC POTASSIUM PHOSPHATE', 'CROSPOVIDONE', 'HYPROMELLOSE', 'ASPARTAME', 'SUCROSE PALMITATE', 'FLAVOUR']"
969,"['CAPSULE CONTENTS', 'CROSPOVIDONE', 'MAGNESIUM STEARATE (E572)', 'MICROCRYSTALLINE CELLULOSE (E460)', 'POVIDONE (E1201)', 'CAPSULE SHELL', 'GELATIN', 'INDIGOTINE (E132)', 'TITANIUM DIOXIDE (E171)', 'PRINTING INK CONTAINING', 'BLACK IRON OXIDE (E172)', 'SHELLAC (E904)']","[1825, 839, 205, 967, 2047, 574, 2474, 112, 20, 2282, 2384, 1770]","[nan, 'CROSPOVIDONE', 'MAGNESIUM STEARATE', 'MICROCRYSTALLINE CELLULOSE', 'POVIDONE', nan, 'GELATIN', 'INDIGO CARMINE', 'TITANIUM DIOXIDE', 'PRINTING INK', 'IRON OXIDE', 'SHELLAC']"
1222,"['POWDER', 'POLY (D', 'L-LACTIDE-CO-GLYCOLIDE)', 'SUCROSE', 'SOLVENT', 'CARMELLOSE SODIUM', 'SODIUM CHLORIDE', 'POLYSORBATE 20', 'SODIUM DIHYDROGEN PHOSPHATE MONOHYDRATE', 'DISODIUM PHOSPHATE HEPTAHYDRATE', 'WATER FOR INJECTIONS', 'SODIUM HYDROXIDE (FOR PH ADJUSTMENT)']","[412, 1972, 570, 105, 916, 2298, 1845, 2690, 2372, 708, 848, 2519]","[nan, nan, 'POLY-LACTIDE-CO-GLYCOLIDE', 'SUCROSE', nan, 'CARMELLOSE SODIUM', 'SODIUM CHLORIDE', 'POLYSORBATE', 'SODIUM DIHYDROGEN PHOSPHATE MONOHYDRATE', 'DISODIUM HYDROGEN PHOSPHATE HEPTAHYDRATE', 'WATER', 'SODIUM HYDROXIDE']"
363,"['VIAL 1 - DOXORUBICIN HCL', '•', 'LACTOSE', 'VIAL 2 - LIPOSOMES', '•  PHOSPHATIDYLCHOLINE', '•', 'CHOLESTEROL', '•', 'CITRIC ACID', '•', 'SODIUM HYDROXIDE', '•  WATER FOR INJECTIONS', 'VIAL 3 - BUFFER', '•', 'SODIUM CARBONATE', '•  WATER FOR INJECTIONS']","[1306, 2114, 1522, 170, 1562, 2114, 1929, 2114, 2498, 2114, 1643, 1844, 223, 2114, 684, 1844]","[nan, nan, 'LACTOSE', nan, 'PHOSPHATIDYLCHOLINE', nan, 'CHOLESTEROL', nan, 'CITRIC ACID', nan, 'SODIUM HYDROXIDE', 'WATER', nan, nan, 'SODIUM CARBONATE', 'WATER']"
793,"['MICROCRYSTALLINE CELLULOSE (E460)', 'CALCIUM HYDROGEN PHOSPHATE', 'CROSCARMELLOSE SODIUM', 'POVIDONE K25', 'GLYCEROL', 'MAGNESIUM STEARATE', 'MEGLUMINE', 'POLOXAMER', 'YELLOW IRON OXIDE (E172) – ONLY IN 1 MG TABLETS', 'RED IRON OXIDE (E172) – ONLY IN 2 MG TABLETS']","[967, 1800, 399, 1651, 2217, 834, 1022, 2614, 629, 674]","['MICROCRYSTALLINE CELLULOSE', 'CALCIUM HYDROGEN PHOSPHATE', 'CROSCARMELLOSE SODIUM', 'POVIDONE', 'GLYCEROL', 'MAGNESIUM STEARATE', 'MEGLUMINE', 'POLOXAMER', 'IRON OXIDE', 'IRON OXIDE']"
794,"['MICROCRYSTALLINE CELLULOSE (E460)', 'CALCIUM HYDROGEN PHOSPHATE', 'CROSCARMELLOSE SODIUM', 'POVIDONE K25', 'GLYCEROL', 'MAGNESIUM STEARATE', 'MEGLUMINE', 'POLOXAMER', 'YELLOW IRON OXIDE (E172) – ONLY IN 1 MG TABLETS', 'RED IRON OXIDE (E172) – ONLY IN 2 MG TABLETS']","[967, 1800, 399, 1651, 2217, 834, 1022, 2614, 629, 674]","['MICROCRYSTALLINE CELLULOSE', 'CALCIUM HYDROGEN PHOSPHATE', 'CROSCARMELLOSE SODIUM', 'POVIDONE', 'GLYCEROL', 'MAGNESIUM STEARATE', 'MEGLUMINE', 'POLOXAMER', 'IRON OXIDE', 'IRON OXIDE']"
856,"['TABLET CORE', 'MICROCRYSTALLINE CELLULOSE', 'POVIDONE (K30)', 'SODIUM STARCH GLYCOLATE (TYPE A)', 'MAGNESIUM STEARATE', 'TABLET COATING', 'HYPROMELLOSE', 'TITANIUM DIOXIDE (E171)', 'MACROGOL (400)', 'POLYSORBATE 80', 'IRON OXIDE YELLOW (E172)', 'IRON OXIDE RED (E172)']","[174, 154, 2445, 1053, 834, 890, 1308, 20, 385, 706, 1125, 2584]","[nan, 'MICROCRYSTALLINE CELLULOSE', 'POVIDONE', 'SODIUM STARCH GLYCOLATE', 'MAGNESIUM STEARATE', nan, 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'POLYSORBATE', 'IRON OXIDE', 'IRON OXIDE']"
1077,"['TABLET CORE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE (2910)', 'SODIUM LAURILSULFATE', 'MAGNESIUM STEARATE', 'FILM-COAT', 'MACROGOL (3350)', 'HYPROMELLOSE (2910)', 'TITANIUM DIOXIDE (E 171)', 'IRON OXIDE RED (E 172)']","[174, 154, 399, 2442, 271, 2505, 834, 2726, 2758, 271, 1417, 1452]","[nan, 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'SODIUM LAURIL SULFATE', 'MAGNESIUM STEARATE', nan, 'POLYETHYLENE GLYCOL', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'IRON OXIDE']"
1078,"['TABLET CORE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE (2910)', 'SODIUM LAURILSULFATE', 'MAGNESIUM STEARATE', 'FILM-COAT', 'MACROGOL (3350)', 'HYPROMELLOSE (2910)', 'TITANIUM DIOXIDE (E 171)', 'IRON OXIDE RED (E 172)']","[174, 154, 399, 2442, 271, 2505, 834, 2726, 2758, 271, 1417, 1452]","[nan, 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'SODIUM LAURIL SULFATE', 'MAGNESIUM STEARATE', nan, 'POLYETHYLENE GLYCOL', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'IRON OXIDE']"
1079,"['TABLET CORE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE (2910)', 'SODIUM LAURILSULFATE', 'MAGNESIUM STEARATE', 'FILM-COAT', 'MACROGOL (3350)', 'HYPROMELLOSE (2910)', 'TITANIUM DIOXIDE (E 171)', 'IRON OXIDE RED (E 172)']","[174, 154, 399, 2442, 271, 2505, 834, 2726, 2758, 271, 1417, 1452]","[nan, 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'SODIUM LAURIL SULFATE', 'MAGNESIUM STEARATE', nan, 'POLYETHYLENE GLYCOL', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'IRON OXIDE']"
1080,"['TABLET CORE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE (2910)', 'SODIUM LAURILSULFATE', 'MAGNESIUM STEARATE', 'FILM-COAT', 'MACROGOL (3350)', 'HYPROMELLOSE (2910)', 'TITANIUM DIOXIDE (E 171)', 'IRON OXIDE RED (E 172)']","[174, 154, 399, 2442, 271, 2505, 834, 2726, 2758, 271, 1417, 1452]","[nan, 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'SODIUM LAURIL SULFATE', 'MAGNESIUM STEARATE', nan, 'POLYETHYLENE GLYCOL', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'IRON OXIDE']"
86,"['TABLET CORE', 'CROSCARMELLOSE SODIUM', 'HYPROLOSE', 'MAGNESIUM STEARATE (E572)', 'MICROCRYSTALLINE CELLULOSE (E460)', 'SODIUM LAURILSULFATE', 'FILM-COATING', 'IRON OXIDE BLACK', 'IRON OXIDE RED', 'MACROGOL 3350', 'POLY(VINYL ALCOHOL)', 'TALC', 'TITANIUM DIOXIDE (E171)']","[174, 399, 1661, 205, 967, 2505, 2402, 1670, 2120, 2650, 2179, 941, 20]","[nan, 'CROSCARMELLOSE SODIUM', 'HYDROXYPROPYLCELLULOSE', 'MAGNESIUM STEARATE', 'MICROCRYSTALLINE CELLULOSE', 'SODIUM LAURIL SULFATE', nan, 'IRON OXIDE', 'IRON OXIDE', 'POLYETHYLENE GLYCOL', 'POLYVINYL ALCOHOL', 'TALC', 'TITANIUM DIOXIDE']"
994,"['TABLET CORE', 'SILICA', 'COLLOIDAL ANHYDROUS', 'CELLULOSE  MICROCRYSTALLINE', 'CROSPOVIDONE', 'SODIUM STARCH GLYCOLATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', 'TABLET FILM-COAT', 'POLYVINYL ALCOHOL', 'PARTIALLY HYDROLYSED', 'TITANIUM DIOXIDE (E171)', 'MACROGOL', 'TALC']","[174, 987, 1828, 1646, 839, 1665, 1308, 834, 784, 633, 254, 20, 761, 941]","[nan, 'SILICON DIOXIDE, ANHYDROUS', 'SILICON DIOXIDE, ANHYDROUS', 'MICROCRYSTALLINE CELLULOSE', 'CROSPOVIDONE', 'SODIUM STARCH GLYCOLATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', nan, 'POLYVINYL ALCOHOL', 'POLYVINYL ALCHOL PART. HYDROLISED', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'TALC']"
1393,"['TABLET CORE:', 'MICROCRYSTALLINE CELLULOSE (E460)', 'CALCIUM HYDROGEN PHOSPHATE', 'CROSCARMELLOSE SODIUM', 'HYPROMELLOSE (E464)', 'MAGNESIUM STEARATE (E470B)', 'FILM COATING:', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE (E464)', 'TITANIUM DIOXIDE (E171)', 'TRIACETIN (E1518)']","[2446, 967, 1800, 399, 795, 251, 2731, 2442, 795, 20, 2032]","[nan, 'MICROCRYSTALLINE CELLULOSE', 'CALCIUM HYDROGEN PHOSPHATE', 'CROSCARMELLOSE SODIUM', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', nan, 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'GLYCEROL TRIACETATE']"
1458,"['TABLET CORE', 'HYPROMELLOSE ACETATE SUCCINATE', 'MICROCRYSTALLINE CELLULOSE', 'COLLOIDAL ANHYDROUS SILICA', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE', 'TABLET COATING', 'HYPROMELLOSE', 'TALC', 'MACROGOL (8000)', 'TITANIUM DIOXIDE (E171)', 'IRON OXIDE YELLOW (E172)']","[174, 851, 154, 2515, 399, 834, 890, 1308, 941, 2762, 20, 1125]","[nan, 'HYPROMELLOSE ACETATE SUCCINATE', 'MICROCRYSTALLINE CELLULOSE', 'SILICON DIOXIDE, ANHYDROUS', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE', nan, 'HYPROMELLOSE', 'TALC', 'POLYETHYLENE GLYCOL', 'TITANIUM DIOXIDE', 'IRON OXIDE']"
268,"['TABLET CORE:', 'PREGELATINIZED STARCH (MAIZE)', 'MAGNESIUM STEARATE', 'POVIDONE (K30)', 'COLLOIDAL ANHYDROUS SILICA', 'MICROCRYSTALLINE CELLULOSE', 'SILICIFIED', 'TABLET COATING:', 'POLYDEXTROSE', 'TITANIUM DIOXIDE (E171)', 'HYPROMELLOSE (E464)', 'MACROGOL 4000']","[2446, 1456, 834, 2445, 2515, 154, 2002, 77, 1582, 20, 795, 2514]","[nan, 'PREGELATINISED STARCH', 'MAGNESIUM STEARATE', 'POVIDONE', 'SILICON DIOXIDE, ANHYDROUS', 'SILICIFIED MICROCRYSTALLINE CELLULOSE', nan, 'POLYDEXTROSE', 'TITANIUM DIOXIDE', 'HYPROMELLOSE', 'POLYETHYLENE GLYCOL']"
611,"['TABLET CORE', 'LACTOSE MONOHYDRATE', 'MAIZE STARCH', 'HYDROXYPROPYL CELLULOSE', 'MAGNESIUM STEARATE', 'TABLET COAT', 'OPADRY II WHITE CONTAINING:', 'HYPROMELLOSE (E464)', 'TITANIUM DIOXIDE (E171)', 'LACTOSE MONOHYDRATE', 'POLYETHYLENE GLYCOL 3000', 'GLYCEROL TRIACETATE']","[174, 2442, 315, 1216, 834, 1167, 1472, 795, 20, 2442, 991, 745]","[nan, 'LACTOSE MONOHYDRATE', 'MAIZE STARCH', 'HYDROXYPROPYLCELLULOSE', 'MAGNESIUM STEARATE', nan, 'OPADRY', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'LACTOSE MONOHYDRATE', 'POLYETHYLENE GLYCOL', 'GLYCEROL TRIACETATE']"
612,"['TABLET CORE', 'LACTOSE MONOHYDRATE', 'MAIZE STARCH', 'HYDROXYPROPYL CELLULOSE', 'MAGNESIUM STEARATE', 'TABLET COAT', 'OPADRY II WHITE CONTAINING:', 'HYPROMELLOSE (E464)', 'TITANIUM DIOXIDE (E171)', 'LACTOSE MONOHYDRATE', 'POLYETHYLENE GLYCOL 3000', 'GLYCEROL TRIACETATE']","[174, 2442, 315, 1216, 834, 1167, 1472, 795, 20, 2442, 991, 745]","[nan, 'LACTOSE MONOHYDRATE', 'MAIZE STARCH', 'HYDROXYPROPYLCELLULOSE', 'MAGNESIUM STEARATE', nan, 'OPADRY', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'LACTOSE MONOHYDRATE', 'POLYETHYLENE GLYCOL', 'GLYCEROL TRIACETATE']"
613,"['TABLET CORE', 'LACTOSE MONOHYDRATE', 'MAIZE STARCH', 'HYDROXYPROPYL CELLULOSE', 'MAGNESIUM STEARATE', 'TABLET COAT', 'OPADRY II WHITE CONTAINING:', 'HYPROMELLOSE (E464)', 'TITANIUM DIOXIDE (E171)', 'LACTOSE MONOHYDRATE', 'POLYETHYLENE GLYCOL 3000', 'GLYCEROL TRIACETATE']","[174, 2442, 315, 1216, 834, 1167, 1472, 795, 20, 2442, 991, 745]","[nan, 'LACTOSE MONOHYDRATE', 'MAIZE STARCH', 'HYDROXYPROPYLCELLULOSE', 'MAGNESIUM STEARATE', nan, 'OPADRY', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'LACTOSE MONOHYDRATE', 'POLYETHYLENE GLYCOL', 'GLYCEROL TRIACETATE']"
614,"['TABLET CORE', 'LACTOSE MONOHYDRATE', 'MAIZE STARCH', 'HYDROXYPROPYL CELLULOSE', 'MAGNESIUM STEARATE', 'TABLET COAT', 'OPADRY II WHITE CONTAINING:', 'HYPROMELLOSE (E464)', 'TITANIUM DIOXIDE (E171)', 'LACTOSE MONOHYDRATE', 'POLYETHYLENE GLYCOL 3000', 'GLYCEROL TRIACETATE']","[174, 2442, 315, 1216, 834, 1167, 1472, 795, 20, 2442, 991, 745]","[nan, 'LACTOSE MONOHYDRATE', 'MAIZE STARCH', 'HYDROXYPROPYLCELLULOSE', 'MAGNESIUM STEARATE', nan, 'OPADRY', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'LACTOSE MONOHYDRATE', 'POLYETHYLENE GLYCOL', 'GLYCEROL TRIACETATE']"
639,"['CORE', 'MANNITOL (E421)', 'DIBASIC CALCIUM PHOSPHATE', 'MAGNESIUM STEARATE (E470B)', 'SODIUM STARCH GLYCOLATE', 'HYDROXYPROPYL-CELLULOSE (E463)', 'COATING', 'TALC', 'TITANIUM DIOXIDE (E171)', 'FERRIC OXIDE YELLOW (E172)', 'POLYETHYLENE-GLYCOL 400', 'HYPROMELLOSE (E464)']","[2112, 482, 577, 251, 1665, 1744, 2256, 941, 20, 2563, 614, 795]","[nan, 'MANNITOL', 'CALCIUM HYDROGEN PHOSPHATE', 'MAGNESIUM STEARATE', 'SODIUM STARCH GLYCOLATE', 'HYDROXYPROPYLCELLULOSE', nan, 'TALC', 'TITANIUM DIOXIDE', 'IRON OXIDE', 'POLYETHYLENE GLYCOL', 'HYPROMELLOSE']"
1010,"['TABLET CORE', 'MICROCRYSTALLINE CELLULOSE (E460)', 'CROSCARMELLOSE SODIUM (E468)', 'MAGNESIUM STEARATE (E470B)', 'FILM-COATING', 'POLYVINYL ALCOHOL (E203)', 'TITANIUM DIOXIDE (E171)', 'MACROGOL (E1521)', 'TALC (E553B)', 'IRON OXIDE RED (E172)', 'IRON OXIDE BLACK (E172)']","[174, 967, 792, 251, 2402, 402, 20, 2730, 982, 2584, 2196]","[nan, 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE', nan, 'POLYVINYL ALCOHOL', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'TALC', 'IRON OXIDE', 'IRON OXIDE']"
399,"['TABLET CORE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE (E572)', 'MICROCRYSTALLINE CELLULOSE (E460)', 'STARCH PREGELATINISED', 'FILM-COATING', 'GLYCEROL TRIACETATE (E1518)', 'HYPROMELLOSE (E464)', 'LACTOSE MONOHYDRATE', 'TITANIUM DIOXIDE (E171)']","[174, 399, 2442, 205, 967, 2341, 2402, 658, 795, 2442, 20]","[nan, 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'MICROCRYSTALLINE CELLULOSE', 'PREGELATINISED STARCH', nan, 'GLYCEROL TRIACETATE', 'HYPROMELLOSE', 'LACTOSE MONOHYDRATE', 'TITANIUM DIOXIDE']"
400,"['TABLET CORE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE (E572)', 'MICROCRYSTALLINE CELLULOSE (E460)', 'STARCH PREGELATINISED', 'FILM-COATING', 'GLYCEROL TRIACETATE (E1518)', 'HYPROMELLOSE (E464)', 'LACTOSE MONOHYDRATE', 'TITANIUM DIOXIDE (E171)']","[174, 399, 2442, 205, 967, 2341, 2402, 658, 795, 2442, 20]","[nan, 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'MICROCRYSTALLINE CELLULOSE', 'PREGELATINISED STARCH', nan, 'GLYCEROL TRIACETATE', 'HYPROMELLOSE', 'LACTOSE MONOHYDRATE', 'TITANIUM DIOXIDE']"
401,"['TABLET CORE', 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE (E572)', 'MICROCRYSTALLINE CELLULOSE (E460)', 'STARCH PREGELATINISED', 'FILM-COATING', 'GLYCEROL TRIACETATE (E1518)', 'HYPROMELLOSE (E464)', 'LACTOSE MONOHYDRATE', 'TITANIUM DIOXIDE (E171)']","[174, 399, 2442, 205, 967, 2341, 2402, 658, 795, 2442, 20]","[nan, 'CROSCARMELLOSE SODIUM', 'LACTOSE MONOHYDRATE', 'MAGNESIUM STEARATE', 'MICROCRYSTALLINE CELLULOSE', 'PREGELATINISED STARCH', nan, 'GLYCEROL TRIACETATE', 'HYPROMELLOSE', 'LACTOSE MONOHYDRATE', 'TITANIUM DIOXIDE']"
558,"['TABLET CORE:', 'LACTOSE', 'MICROCRYSTALLINE CELLULOSE (E460)', 'CROSCARMELLOSE SODIUM', 'SODIUM LAURILSULFATE', 'MAGNESIUM STEARATE (E470B)', 'FILM COAT:', 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE (E464)', 'TITANIUM DIOXIDE (E171)', 'TRIACETIN', 'IRON OXIDE RED (E172)', '50']","[2446, 1522, 967, 399, 2505, 251, 1040, 2442, 795, 20, 159, 2584, 2755]","[nan, 'LACTOSE', 'MICROCRYSTALLINE CELLULOSE', 'CROSCARMELLOSE SODIUM', 'SODIUM LAURIL SULFATE', 'MAGNESIUM STEARATE', nan, 'LACTOSE MONOHYDRATE', 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'GLYCEROL TRIACETATE', 'IRON OXIDE', nan]"
1213,"['TABLET CORE:', 'MICROCRYSTALLINE CELLULOSE', 'CALCIUM HYDROGEN PHOSPHATE (ANHYDROUS)', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE', 'FILM COAT:', 'HYPROMELLOSE', 'TITANIUM DIOXIDE (E171)', 'LACTOSE MONOHYDRATE', 'TRIACETIN', 'INDIGO CARMINE ALUMINIUM LAKE (E132)', '13']","[2446, 154, 2086, 399, 834, 1040, 1308, 20, 2442, 159, 1786, 1658]","[nan, 'MICROCRYSTALLINE CELLULOSE', 'CALCIUM HYDROGEN PHOSPHATE', 'CROSCARMELLOSE SODIUM', 'MAGNESIUM STEARATE', nan, 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'LACTOSE MONOHYDRATE', 'GLYCEROL TRIACETATE', 'INDIGO CARMINE', nan]"
109,"['TABLET CORE', 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'SILICA', 'COLLOIDAL ANHYDROUS', 'CROSPOVIDONE', 'MAGNESIUM STEARATE', 'TABLET COAT', 'HYPROMELLOSE', 'POLYSORBATE 80', 'MACROGOL 400', 'TITANIUM DIOXIDE (E 171)', '17', 'IRON OXIDE YELLOW AND RED (E 172)']","[174, 2442, 154, 987, 1828, 839, 834, 1167, 1308, 706, 1335, 1417, 2039, 1797]","[nan, 'LACTOSE MONOHYDRATE', 'MICROCRYSTALLINE CELLULOSE', 'SILICON DIOXIDE, ANHYDROUS', 'SILICON DIOXIDE, ANHYDROUS', 'CROSPOVIDONE', 'MAGNESIUM STEARATE', nan, 'HYPROMELLOSE', 'POLYSORBATE', 'POLYETHYLENE GLYCOL', 'TITANIUM DIOXIDE', nan, 'IRON OXIDE']"
995,"['TABLET CORE', 'SILICA', 'COLLOIDAL ANHYDROUS', 'CELLULOSE  MICROCRYSTALLINE', 'CROSPOVIDONE', 'SODIUM STARCH GLYCOLATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', '79', 'TABLET FILM-COAT', 'POLYVINYL ALCOHOL PARTIALLY HYDROLYSED', 'TITANIUM DIOXIDE (E171)', 'MACROGOL', 'TALC']","[174, 987, 1828, 1646, 839, 1665, 1308, 834, 422, 784, 1551, 20, 761, 941]","[nan, 'SILICON DIOXIDE, ANHYDROUS', 'SILICON DIOXIDE, ANHYDROUS', 'MICROCRYSTALLINE CELLULOSE', 'CROSPOVIDONE', 'SODIUM STARCH GLYCOLATE', 'HYPROMELLOSE', 'MAGNESIUM STEARATE', nan, nan, 'POLYVINYL ALCHOL PART. HYDROLISED', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'TALC']"
1032,"['CAPSULE FILL', 'ALL-RAC-ALPHA-TOCOPHEROL', 'CAPSULE SHELL', 'GELATIN', 'GLYCEROL', 'LIQUID MALTITOL (E965 II)', 'LIQUID SORBITOL (NON-CRYSTALLISING) (E420 II)', 'PURIFIED WATER', 'SOYA LECITHIN', 'PRINTING INK', 'TITANIUM DIOXIDE', 'PROPYLENE GLYCOL', 'HYPROMELLOSE', '10']","[442, 1723, 574, 2474, 2217, 1639, 137, 1045, 557, 2153, 656, 1218, 1308, 1171]","[nan, 'ALPHA-TOCOPHEROL', nan, 'GELATIN', 'GLYCEROL', 'MALTITOL', 'SORBITOL', 'WATER', 'LECITHIN', 'PRINTING INK', 'TITANIUM DIOXIDE', 'PROPYLENE GLYCOL', 'HYPROMELLOSE', nan]"
1486,"['TABLET CONTENTS', '38', 'SORBITAN LAURATE', 'SILICA', 'COLLOIDAL ANHYDROUS', 'COPOVIDONE', 'SODIUM STEARYL FUMARATE', 'FILM-COATING', 'HYPROMELLOSE', 'TITANIUM DIOXIDE (E171)', 'MACROGOL', 'HYDROXYPROPYLCELLULOSE', 'TALC', 'SILICA', 'COLLOIDAL ANHYDROUS', 'POLYSORBATE 80']","[51, 1678, 2292, 987, 1828, 631, 1217, 2402, 1308, 20, 761, 1474, 941, 987, 1828, 706]","[nan, nan, 'SORBITAN MONOLAURATE', 'SILICON DIOXIDE, ANHYDROUS', 'SILICON DIOXIDE, ANHYDROUS', 'COPOVIDONE', 'SODIUM STEARYL FUMARATE', nan, 'HYPROMELLOSE', 'TITANIUM DIOXIDE', 'POLYETHYLENE GLYCOL', 'HYDROXYPROPYLCELLULOSE', 'TALC', 'SILICON DIOXIDE, ANHYDROUS', 'SILICON DIOXIDE, ANHYDROUS', 'POLYSORBATE']"
