Column1,Category,Medicine name,Therapeutic area,International non-proprietary name (INN) / common name,Active substance,Product number,Patient safety,Authorisation status,ATC code,Additional monitoring,Generic,Conditional approval,Exceptional circumstances,Accelerated assessment,Orphan medicine,Marketing authorisation date,Date of refusal of marketing authorisation,Marketing authorisation holder/company name,Human pharmacotherapeutic group,Date of opinion,Decision date,Revision number,Condition / indication,First published,Revision date,URL,InChI_Keys
533,Human,Lenalidomide Krka (previously Lenalidomide Krka d.d. Novo mesto),"Multiple Myeloma;  Myelodysplastic Syndromes;  Lymphoma, Follicular;  Lymphoma, Mantle-Cell",lenalidomide,['LENALIDOMIDE HYDROCHLORIDE MONOHYDRATE'],EMEA/H/C/005348,no,Authorised,L04AX04,no,yes,no,no,no,no,11/02/2021,,"Krka, d.d., Novo mesto ",Immunosuppressants,10/12/2020,17/07/2023,4,"Multiple myelomaLenalidomide Krka as monotherapy is indicated for the maintenance treatment of adult patients with newly diagnosed multiple myeloma who have undergone autologous stem cell transplantation.Lenalidomide Krka as combination therapy with dexamethasone, or bortezomib and dexamethasone, or melphalan and prednisone (see section 4.2) is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for transplant.Lenalidomide Krka in combination with dexamethasone is indicated for the treatment of multiple myeloma in adult patients who have received at least one prior therapy.Myelodysplastic syndromesLenalidomide Krka as monotherapy is indicated for the treatment of adult patients with transfusion-dependent anemia due to low- or intermediate-1-risk myelodysplastic syndromes associated with an isolated deletion 5q cytogenetic abnormality when other therapeutic options are insufficient or inadequate.Mantle cell lymphomaLenalidomide Krka as monotherapy is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (see sections 4.4 and 5.1).Follicular lymphomaLenalidomide Krka in combination with rituximab (anti-CD20 antibody) is indicated for the treatment of adult patients with previously treated follicular lymphoma (Grade 1 – 3a).Multiple myelomaLenalidomide Krka as monotherapy is indicated for the maintenance treatment of adult patients with newly diagnosed multiple myeloma who have undergone autologous stem cell transplantation.Lenalidomide Krka as combination therapy with dexamethasone, or bortezomib and dexamethasone, or melphalan and prednisone (see section 4.2) is indicated for the treatment of adult patients with previously untreated multiple myeloma who are not eligible for transplant.Lenalidomide Krka in combination with dexamethasone is indicated for the treatment of multiple myeloma in adult patients who have received at least one prior therapy.Myelodysplastic syndromesLenalidomide Krka as monotherapy is indicated for the treatment of adult patients with transfusion-dependent anemia due to low- or intermediate-1-risk myelodysplastic syndromes associated with an isolated deletion 5q cytogenetic abnormality when other therapeutic options are insufficient or inadequate.Mantle cell lymphomaLenalidomide Krka as monotherapy is indicated for the treatment of adult patients with relapsed or refractory mantle cell lymphoma (see sections 4.4 and 5.1).Follicular lymphomaLenalidomide Krka in combination with rituximab (anti-CD20 antibody) is indicated for the treatment of adult patients with previously treated follicular lymphoma (Grade 1 – 3a).",18/02/2021,26/07/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/lenalidomide-krka-previously-lenalidomide-krka-dd-novo-mesto,['not found']
543,Human,Gardasil 9,Condylomata Acuminata;  Papillomavirus Infections;  Immunization;  Uterine Cervical Dysplasia,"human papillomavirus 9-valent vaccine (recombinant, adsorbed)","['HUMAN PAPILLOMAVIRUS VACCINE [TYPES 6', '11', '16', '18', '31', '33', '45', '52', '58] (RECOMBINANT', 'ADSORBED)']",EMEA/H/C/003852,no,Authorised,J07BM03,no,no,no,no,no,no,10/06/2015,,Merck Sharp & Dohme B.V.,Papillomavirus vaccines,25/03/2015,12/05/2023,22,"Gardasil 9 is indicated for active immunisation of individuals from the age of 9 years against the following HPV diseases:Premalignant lesions and cancers affecting the cervix, vulva, vagina and anus caused by vaccine HPV typesGenital warts (Condyloma acuminata) caused by specific HPV types.See sections 4.4 and 5.1 for important information on the data that support these indications.The use of Gardasil 9 should be in accordance with official recommendations.",26/07/2018,25/07/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/gardasil-9,"['not found', 'not found', 'not found', 'not found', 'not found', 'not found', 'not found', 'not found', 'not found', 'not found']"
613,Human,Menveo,"Immunization;  Meningitis, Meningococcal","meningococcal group A, C, W-135 and Y conjugate vaccine","['MENINGOCOCCAL GROUP A', 'C', 'W-135 AND Y CONJUGATE VACCINE']",EMEA/H/C/001095,no,Authorised,J07AH08,no,no,no,no,no,no,15/03/2010,17/12/2009,GSK Vaccines S.r.l.,Bacterial vaccines,,21/06/2023,33,"VialsMenveo is indicated for active immunisation of children (from two years of age), adolescents and adults at risk of exposure to Neisseria meningitidis groups A, C, W135 and Y, to prevent invasive disease.The use of this vaccine should be in accordance with official recommendations.",15/03/2018,06/07/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/menveo,"['not found', 'not found', 'not found']"
633,Human,Sibnayal,"Acidosis, Renal Tubular","potassium citrate, potassium hydrogen carbonate","['POTASSIUM CITRATE MONOHYDRATED', 'POTASSIUM HYDROGEN CARBONATE']",EMEA/H/C/005407,no,Authorised,A12BA30,no,no,no,no,no,no,30/04/2021,,Advicenne S.A.,Mineral supplements,10/12/2020,27/06/2023,2,"Sibnayal is indicated for the treatment of distal renal tubular acidosis (dRTA) in adults, adolescents and children aged one year and older.",03/05/2021,30/06/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/sibnayal,"['not found', 'TYJJADVDDVDEDZ-UHFFFAOYSA-M']"
680,Human,Duavive,Postmenopause,"oestrogens conjugated, bazedoxifene","['OESTROGENS CONJUGATED', 'BAZEDOXIFENE']",EMEA/H/C/002314,no,Authorised,G03CC07,no,no,no,no,no,no,16/12/2014,,Pfizer Europe MA EEIG,conjugated estrogens and bazedoxifene,23/10/2014,19/06/2023,15,Duavive is indicated for:Treatment of oestrogen deficiency symptoms in postmenopausal women with a uterus (with at least 12 months since the last menses) for whom treatment with progestin-containing therapy is not appropriate.The experience treating women older than 65 years is limited.,02/08/2018,20/06/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/duavive,"['not found', 'UCJGJABZCDBEDK-UHFFFAOYSA-N']"
688,Human,Grepid,Peripheral Vascular Diseases;  Stroke;  Myocardial Infarction,clopidogrel,['CLOPIDOGREL (AS BESILATE)'],EMEA/H/C/001059,no,Authorised,B01AC04,no,yes,no,no,no,no,27/07/2009,,Pharmathen S.A.,Antithrombotic agents,29/05/2009,26/04/2023,26,"Prevention of atherothrombotic eventsClopidogrel is indicated in:adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from seven days until less than six months) or established peripheral arterial disease;adult patients suffering from acute coronary syndrome:non-ST-segment-elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA);ST-segment-elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.Prevention of atherothrombotic and thromboembolic events in atrial fibrillationIn adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with vitamin-K antagonists and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.",31/05/2018,14/06/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/grepid,['not found']
702,Human,Atazanavir Krka,HIV Infections,atazanavir,['ATAZANAVIR (AS SULFATE)'],EMEA/H/C/004859,no,Authorised,J05AE08,no,yes,no,no,no,no,25/03/2019,,"Krka, d.d., Novo mesto",Antivirals for systemic use,31/01/2019,06/06/2023,2,"Atazanavir Krka capsules, co-administered with low dose ritonavir, are indicated for the treatment of HIV-1 infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products.Based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors (? 4 PI mutations).The choice of Atazanavir Krka in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patient’s treatment history.",15/05/2019,07/06/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/atazanavir-krka,['not found']
709,Human,Oxervate,Keratitis,cenegermin,['RECOMBINANT HUMAN NERVE GROWTH FACTOR'],EMEA/H/C/004209,no,Authorised,S01,yes,no,no,no,yes,yes,06/07/2017,,Dompe farmaceutici s.p.a.,Ophthalmologicals,18/05/2017,05/05/2023,2,Treatment of moderate (persistent epithelial defect) or severe (corneal ulcer) neurotrophic keratitis in adults,06/07/2017,02/06/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/oxervate,['not found']
766,Human,Atazanavir Mylan,HIV Infections,atazanavir,['ATAZANAVIR (AS SULFATE)'],EMEA/H/C/004048,no,Authorised,J05AE08,no,yes,no,no,no,no,22/08/2016,,Mylan Pharmaceuticals Limited,Antivirals for systemic use,23/06/2016,16/05/2023,14,"Atazanavir Mylan, co-administered with low dose ritonavir, is indicated for the treatment of HIV 1 infected adults and paediatric patients 6 years of age and older in combination with other antiretroviral medicinal products.Based on available virological and clinical data from adult patients, no benefit is expected in patients with strains resistant to multiple protease inhibitors (? 4 PI mutations). There are very limited data available from children aged 6 to less than 18 years.The choice of Atazanavir Mylan in treatment experienced adult and paediatric patients should be based on individual viral resistance testing and the patient’s treatment history.",03/05/2018,17/05/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/atazanavir-mylan,['not found']
767,Human,Bosulif,"Leukemia, Myeloid",bosutinib,['BOSUTINIB (AS MONOHYDRATE)'],EMEA/H/C/002373,no,Authorised,,no,no,no,no,no,no,27/03/2013,,Pfizer Europe MA EEIG,"Antineoplastic agents, Protein kinase inhibitors",17/01/2013,16/05/2023,24,"Bosulif is indicated for the treatment of adult patients with:newly?diagnosed chronic phase (CP) Philadelphia chromosome-positive chronic myelogenous leukaemia (Ph+ CML).CP, accelerated phase (AP), and blast phase (BP) Ph+ CML previously treated with one or more tyrosine kinase inhibitor(s) [TKI(s)] and for whom imatinib, nilotinib and dasatinib are not considered appropriate treatment options.",02/08/2018,17/05/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/bosulif,['not found']
797,Human,Biktarvy,HIV Infections,"bictegravir, emtricitabine, tenofovir alafenamide","['BICTEGRAVIR', 'EMTRICITABINE', 'TENOFOVIR ALAFENAMIDE', 'FUMARATE']",EMEA/H/C/004449,no,Authorised,J05AR20,no,no,no,no,no,no,21/06/2018,,Gilead Sciences Ireland UC,Antivirals for systemic use,26/04/2018,28/04/2023,16,"Biktarvy is indicated for the treatment of human immunodeficiency virus 1 (HIV 1) infection in adults and paediatric patients at least 2 years of age and weighing at least 14 kg i without present or past evidence of viral resistance to the integrase inhibitor class, emtricitabine or tenofovir.(see section 5.1)",21/06/2018,28/04/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/biktarvy,"['SOLUWJRYJLAZCX-LYOVBCGYSA-N', 'XQSPYNMVSIKCOC-NTSWFWBYSA-N', 'LDEKQSIMHVQZJK-CAQYMETFSA-N', 'not found']"
808,Human,NexoBrid,Debridement,concentrate of proteolytic enzymes enriched in bromelain,['PROTEOLYTIC ENZYMES ENRICHED IN BROMELAIN'],EMEA/H/C/002246,no,Authorised,D03BA03,yes,no,no,no,no,no,18/12/2012,,MediWound Germany GmbH,Preparations for treatment of wounds and ulcers,20/09/2012,30/03/2023,15,NexoBrid is indicated for removal of eschar in adults with deep partial- and full-thickness thermal burns.,09/08/2018,26/04/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/nexobrid,['not found']
838,Human,Cetrotide,Ovulation;  Ovulation Induction,cetrorelix,['CETRORELIX (AS ACETATE)'],EMEA/H/C/000233,no,Authorised,H01CC02,no,no,no,no,no,no,12/04/1999,,Merck Europe B.V.,Pituitary and hypothalamic hormones and analogues,,12/04/2023,27,"Prevention of premature ovulation in patients undergoing a controlled ovarian stimulation, followed by oocyte-pick-up and assisted-reproductive techniques.In clinical trials, Cetrotide was used with human menopausal gonadotropin (HMG), however, limited experience with recombinant follicule-stimulating hormone (FSH) suggested similar efficacy.",23/07/2018,12/04/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/cetrotide,['not found']
866,Human,Imvanex,Smallpox Vaccine;  Monkeypox virus,smallpox and monkeypox vaccine (Live Modified Vaccinia Virus Ankara),['MODIFIED VACCINIA ANKARA - BAVARIAN NORDIC (MVA-BN) VIRUS'],EMEA/H/C/002596,no,Authorised,J07BX,yes,no,no,yes,no,no,31/07/2013,,Bavarian Nordic A/S,"Other viral vaccines, ",30/05/2013,16/03/2023,25,"Active immunisation against smallpox, monkeypox and disease caused by vaccinia virus in adults (see sections 4.4 and 5.1).The use of this vaccine should be in accordance with official recommendations.",23/04/2018,29/03/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/imvanex,['not found']
970,Human,Tracleer,"Scleroderma, Systemic;  Hypertension, Pulmonary",bosentan,['BOSENTAN (AS MONOHYDRATE)'],EMEA/H/C/000401,no,Authorised,C02KX01,no,no,no,no,no,no,14/05/2002,,Janssen-Cilag International N.V.  ,"Antihypertensives, ",21/02/2002,09/02/2023,42,"Treatment of pulmonary arterial hypertension (PAH) to improve exercise capacity and symptoms in patients with WHO functional class III.Efficacy has been shown in:, , , 	Primary (idiopathic and familial) PAH;, 	PAH secondary to scleroderma without significant interstitial pulmonary disease;, 	PAH associated with congenital systemic-to-pulmonary shunts and Eisenmenger's physiology., , , Some improvements have also been shown in patients with PAH WHO functional class II., , Tracleer is also indicated to reduce the number of new digital ulcers in patients with systemic sclerosis and ongoing digital ulcer disease., ",20/11/2017,13/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/tracleer,['not found']
971,Human,Stayveer,"Hypertension, Pulmonary;  Scleroderma, Systemic",bosentan monohydrate,['BOSENTAN (AS MONOHYDRATE)'],EMEA/H/C/002644,no,Authorised,C02KX01,no,no,no,no,no,no,24/06/2013,,Janssen-Cilag International NV,Other antihypertensives,21/03/2013,09/02/2023,15,Treatment of pulmonary arterial hypertension (PAH) to improve exercise capacity and symptoms in patients with World Health Organization (WHO) functional class III. Efficacy has been shown in:primary (idiopathic and familial) PAH;PAH secondary to scleroderma without significant interstitial pulmonary disease;PAH associated with congenital systemic-to-pulmonary shunts and Eisenmenger’s physiology.Some improvements have also been shown in patients with PAH WHO functional class II.Stayveer is also indicated to reduce the number of new digital ulcers in patients with systemic sclerosis and ongoing digital-ulcer disease.,26/09/2017,13/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/stayveer,['not found']
980,Human,Helicobacter Test INFAI,Breath Tests;  Helicobacter Infections,13C-urea,['UREA (13C)'],EMEA/H/C/000140,no,Authorised,V04CX,no,no,no,no,no,no,14/08/1997,,"INFAI, Institut für biomedizinische Analytik  NMR-Imaging GmbH",Diagnostic agents,16/04/1997,30/01/2023,20,"Helicobacter Test INFAI may be used for in vivo diagnosis of gastroduodenal Helicobacter pylori infection in:adults;adolescents, who are likely to have peptic ulcer disease.Helicobacter Test INFAI for children aged three to 11 years may be used for in vivo diagnosis of gastrduodenal Helicobacter pylori infection:for the evaluation of the success of eradication treatment, or;when invasive tests cannot be performed, or;when there are discordant results arising from invasive tests.This medicinal product is for diagnostic use only.",07/03/2018,02/02/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/helicobacter-test-infai,['not found']
1004,Human,Vocabria,HIV Infections,cabotegravir,"['CABOTEGAVIR SODIUM', 'CABOTEGRAVIR']",EMEA/H/C/004976,no,Authorised,J05AX,yes,no,no,no,no,no,17/12/2020,,ViiV Healthcare B.V.,Antivirals for systemic use,15/10/2020,10/01/2023,8,Vocabria tablets are indicated in combination with rilpivirine tablets for the short-term treatment of Human Immunodeficiency Virus type 1 (HIV-1) infection in adults who are virologically suppressed (HIV-1 RNA ,05/01/2021,12/01/2023,https://www.ema.europa.eu/en/medicines/human/EPAR/vocabria,"['not found', 'WCWSTNLSLKSJPK-LKFCYVNXSA-N']"
1037,Human,Nyxthracis (previously Obiltoxaximab SFL),Anthrax,obiltoxaximab,['NYXTHRACIS'],EMEA/H/C/005169,no,Authorised,J06BB22,yes,no,no,yes,no,yes,18/11/2020,,SFL Pharmaceuticals Deutschland GmbH,"Immune sera and immunoglobulins, ",17/09/2020,14/12/2022,3,Obiltoxaximab SFL is indicated in combination with appropriate antibacterial drugs in all age groups for treatment of inhalational anthrax due to Bacillus anthracis (see section 5.1).Obiltoxaximab SFL is indicated in all age groups for post-exposure prophylaxis of inhalational anthrax when alternative therapies are not appropriate or are not available (see section 5.1).,27/11/2020,15/12/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/nyxthracis-previously-obiltoxaximab-sfl,['not found']
1045,Human,Onivyde pegylated liposomal (previously known as Onivyde),Pancreatic Neoplasms,irinotecan hydrochloride trihydrate,['IRINOTECAN ANHYDROUS FREE-BASE'],EMEA/H/C/004125,no,Authorised,L01CE02,no,no,no,no,no,yes,14/10/2016,,Les Laboratoires Servier,Antineoplastic agents,21/07/2016,22/08/2022,11,"Treatment of metastatic adenocarcinoma of the pancreas, in combination with 5 fluorouracil (5 FU) and leucovorin (LV), in adult patients who have progressed following gemcitabine based therapy.",22/05/2017,13/12/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/onivyde-pegylated-liposomal,['not found']
1048,Human,Velphoro,Hyperphosphatemia;  Renal Dialysis,sucroferric oxyhydroxide,['SUCROFERRIC OXYHYDROXIDE'],EMEA/H/C/002705,no,Authorised,V03AE05,no,no,no,no,no,no,26/08/2014,,Vifor Fresenius Medical Care Renal Pharma France,Drugs for treatment of hyperkalemia and hyperphosphatemia,26/06/2014,11/01/2022,9,Velphoro is indicated for the control of serum phosphorus levels in adult chronic kidney disease (CKD) patients on haemodialysis (HD) or peritoneal dialysis (PD).Velphoro is indicated for the control of serum phosphorus levels in paediatric patients 2 years of age and older with CKD stages 4-5 (defined by a glomerular filtration rate ,20/02/2018,08/12/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/velphoro,['not found']
1049,Human,Aerinaze,"Rhinitis, Allergic, Seasonal","desloratadine, pseudoephedrine","['DESLORATADINE', 'PSEUDOPHEDRINE SULFATE']",EMEA/H/C/000772,no,Authorised,R01BA52,no,no,no,no,no,no,30/07/2007,,N.V. Organon,Nasal preparations,24/05/2007,07/12/2022,22,Symptomatic treatment of seasonal allergic rhinitis when accompanied by nasal congestion.,15/06/2018,07/12/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/aerinaze,"['JAUOIFJMECXRGI-UHFFFAOYSA-N', 'not found']"
1050,Human,Sycrest,Bipolar Disorder,asenapine,['ASENAPINE (AS MALEATE)'],EMEA/H/C/001177,no,Authorised,N05AH05,no,no,no,no,no,no,01/09/2010,,N.V. Organon,Psycholeptics,24/06/2010,07/12/2022,21,Sycrest is indicated for the treatment of moderate to severe manic episodes associated with bipolar I disorder in adults.,08/02/2018,07/12/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/sycrest,['not found']
1052,Human,Jorveza,Esophageal Diseases,budesonide,['BUDESONIDE'],EMEA/H/C/004655,no,Authorised,A07EA06,no,no,no,no,yes,yes,08/01/2018,,Dr. Falk Pharma GmbH,"Antidiarrheals, intestinal antiinflammatory / antiinfective agents",09/11/2017,10/11/2022,6,Jorveza is indicated for the treatment of eosinophilic esophagitis (EoE) in adults (older than 18 years of age).,08/01/2018,06/12/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/jorveza,['not found']
1056,Human,Striascan,Radionuclide Imaging;  Dementia;  Movement Disorders,ioflupane (123l),['IOFLUPANE (123L)'],EMEA/H/C/004745,no,Authorised,V09AB03,no,yes,no,no,no,no,25/06/2019,,CIS bio international,Diagnostic radiopharmaceuticals,25/06/2019,05/12/2022,2,"This medicinal product is for diagnostic use only.Striascan is indicated for detecting loss of functional dopaminergic neuron terminals in the striatum:In adult patients with clinically uncertain parkinsonian syndromes, for example those with early symptoms, in order to help differentiate essential tremor from parkinsonian syndromes related to idiopathic Parkinson’s disease, multiple system atrophy and progressive supranuclear palsy. Striascan is unable to discriminate between Parkinson's disease, multiple system atrophy and progressive supranuclear palsy.In adult patients, to help differentiate probable dementia with Lewy bodies from Alzheimer’s disease. Striascan is unable to discriminate between dementia with Lewy bodies and Parkinson’s disease dementia.",02/08/2019,05/12/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/striascan,['not found']
1079,Human,Clopidogrel ratiopharm,Myocardial Infarction;  Acute Coronary Syndrome;  Peripheral Vascular Diseases;  Stroke,clopidogrel,['CLOPIDOGREL (AS HYDROGEN SULFATE)'],EMEA/H/C/004006,no,Authorised,B01AC04,no,yes,no,no,no,no,18/02/2015,,Teva B.V.,Antithrombotic agents,18/12/2014,15/11/2022,14,"Secondary prevention of atherothrombotic events Clopidogrel is indicated in:Adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.Adult patients suffering from acute coronary syndrome:Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA).ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.Prevention of atherothrombotic and thromboembolic events in atrial fibrillationIn adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with Vitamin K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.",13/04/2018,15/11/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-ratiopharm,['not found']
1086,Human,Exforge,Hypertension,"amlodipine, valsartan","['VALSARTAN', 'AMLODIPINE (AS AMLODIPINE BESILATE)']",EMEA/H/C/000716,no,Authorised,C09DB01,no,no,no,no,no,no,16/01/2007,,Novartis Europharm Limited,Agents acting on the renin-angiotensin system,,10/11/2022,31,Treatment of essential hypertension.Exforge is indicated in patients whose blood pressure is not adequately controlled on amlodipine or valsartan monotherapy.,25/06/2018,11/11/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/exforge,"['ACWBQPMHZXGDFX-QFIPXVFZSA-N', 'not found']"
1088,Human,Copalia,Hypertension,"amlodipine, valsartan","['VALSARTAN', 'AMLODIPINE (AS AMLODIPINE BESILATE)']",EMEA/H/C/000774,no,Authorised,C09DB01,no,no,no,no,no,no,15/01/2007,,Novartis Europharm Limited,Agents acting on the renin-angiotensin system,,10/11/2022,29,"Treatment of essential hypertension., , Copalia is indicated in patients whose blood pressure is not adequately controlled on amlodipine or valsartan monotherapy., ",04/06/2018,11/11/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/copalia,"['ACWBQPMHZXGDFX-QFIPXVFZSA-N', 'not found']"
1139,Human,Palforzia,Peanut Hypersensitivity,"defatted powder of Arachis hypogaea L., semen (peanuts)","['DEFATTED POWDER OF ARACHIS HYPOGAEA L.', 'SEMEN (PEANUTS)']",EMEA/H/C/004917,no,Authorised,V01,yes,no,no,no,no,no,17/12/2020,,Aimmune Therapeutics Ireland Limited,Allergens,15/10/2020,19/09/2022,5,Palforzia is indicated for the treatment of patients aged 4 to 17 years with a confirmed diagnosis of peanut allergy. Palforzia may be continued in patients 18 years of age and older.Palforzia should be used in conjunction with a peanut-avoidant diet.,21/12/2020,19/09/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/palforzia,"['not found', 'not found']"
1193,Human,Episalvan,Wounds and Injuries;  Wound Healing,birch bark extract,['BETULAE CORTEX'],EMEA/H/C/003938,no,Withdrawn,D03AX13,no,no,no,no,no,no,14/01/2016,,Amryt AG,Preparations for treatment of wounds and ulcers,19/11/2015,07/06/2022,7,"Treatment of partial thickness wounds in adults. See sections 4.4 and 5.1 in Product Information with respect to type of wounds studied., ",30/05/2018,15/07/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/episalvan,['not found']
1202,Human,Clopidogrel TAD,Peripheral Vascular Diseases;  Stroke;  Myocardial Infarction,clopidogrel,['CLOPIDOGREL (AS HYDROCHLORIDE)'],EMEA/H/C/001136,no,Authorised,B01AC06,no,yes,no,no,no,no,23/09/2009,,Tad Pharma GmbH,Antithrombotic agents,25/06/2009,08/07/2022,15,"Clopidogrel is indicated in adults for the prevention of atherothrombotic events in:, , , 	Patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease., , ",10/05/2018,08/07/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-tad,['not found']
1211,Human,Zostavax,Herpes Zoster;  Immunization,shingles (herpes zoster) vaccine (live),"['VARICELLA-ZOSTER VIRUS (LIVE', 'ATTENUATED)']",EMEA/H/C/000674,no,Authorised,J07BK02,no,no,no,no,no,no,19/05/2006,,Merck Sharp & Dohme B.V.,Viral vaccines,23/03/2006,30/06/2022,33,"Zostavax is indicated for prevention of herpes zoster ('zoster' or shingles) and herpes-zoster-related post-herpetic neuralgia., , Zostavax is indicated for immunisation of individuals 50 years of age or older., ",15/01/2018,01/07/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/zostavax,"['not found', 'not found']"
1229,Human,Clopidogrel Teva (hydrogen sulphate),Acute Coronary Syndrome;  Peripheral Vascular Diseases;  Myocardial Infarction;  Stroke,clopidogrel,['CLOPIDOGREL (AS HYDROGEN SULFATE)'],EMEA/H/C/001053,no,Authorised,B01AC04,no,yes,no,no,no,no,27/07/2009,,Teva Pharma B.V.,Antithrombotic agents,29/05/2009,26/11/2021,18,"Secondary prevention of atherothrombotic eventsClopidogrel is indicated in:Adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.Adult patients suffering from acute coronary syndrome:- Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA).- ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.Prevention of atherothrombotic and thromboembolic events in atrial fibrillationIn adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with Vitamin K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.",04/12/2017,10/06/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/clopidogrel-teva-hydrogen-sulphate,['not found']
1230,Human,Zyllt,Peripheral Vascular Diseases;  Stroke;  Acute Coronary Syndrome;  Myocardial Infarction,clopidogrel,['CLOPIDOGREL (AS HYDROGEN SULFATE)'],EMEA/H/C/001058,no,Authorised,B01AC04,no,yes,no,no,no,no,28/09/2009,,"Krka, d.d., Novo mesto",Antithrombotic agents,,09/06/2022,16,"Prevention Secondary prevention of atherothrombotic events Clopidogrel is indicated in:Adult patients suffering from myocardial infarction (from a few days until less than 35 days), ischaemic stroke (from 7 days until less than 6 months) or established peripheral arterial disease.Adult patients suffering from acute coronary syndrome:- Non-ST segment elevation acute coronary syndrome (unstable angina or non-Q-wave myocardial infarction), including patients undergoing a stent placement following percutaneous coronary intervention, in combination with acetylsalicylic acid (ASA).- ST segment elevation acute myocardial infarction, in combination with ASA in medically treated patients eligible for thrombolytic therapy.Prevention of atherothrombotic and thromboembolic events in atrial fibrillation:- In adult patients with atrial fibrillation who have at least one risk factor for vascular events, are not suitable for treatment with Vitamin K antagonists (VKA) and who have a low bleeding risk, clopidogrel is indicated in combination with ASA for the prevention of atherothrombotic and thromboembolic events, including stroke.",24/04/2018,10/06/2022,https://www.ema.europa.eu/en/medicines/human/EPAR/zyllt,['not found']
