Column2,Column1,active_PSS,product,Substance_Name,Substance_Type,Molecular_Formula,Molecular_Weight,Inchikey,Comment,Created_Date,Last_Updated_Date,External_Code_XEVMPD,External_Code_SVG,External_Code_UNII,pss_inchi,IsomericSMILES
238,238,MYCOPHENOLATE MOFETIL,199,MYCOPHENOLATE MOFETIL,Chemical,C23H31NO7,,RTGDFNSFWBGLEC-SYZQJQIISA-N,,25/07/2019 11:55,20/12/2023 16:17,SUB03360MIG,1,9242ECW6R0,"InChI=1S/C23H31NO7/c1-15(5-7-19(25)30-13-10-24-8-11-29-12-9-24)4-6-17-21(26)20-18(14-31-23(20)27)16(2)22(17)28-3/h4,26H,5-14H2,1-3H3/b15-4+",CC1=C2COC(=O)C2=C(C(=C1OC)C/C=C(\C)/CCC(=O)OCCN3CCOCC3)O
239,239,DESLORATADINE,200,DESLORATADINE,Chemical,C19H19ClN2,,JAUOIFJMECXRGI-UHFFFAOYSA-N,,25/07/2019 11:55,31/07/2023 11:00,SUB01596MIG,1,FVF865388R,"InChI=1S/C19H19ClN2/c20-16-5-6-17-15(12-16)4-3-14-2-1-9-22-19(14)18(17)13-7-10-21-11-8-13/h1-2,5-6,9,12,21H,3-4,7-8,10-11H2",C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
240,240,SILDENAFIL CITRATE,201,SILDENAFIL CITRATE,Chemical,C22H30N6O4S.C6H8O7,,DEIYFTQMQPDXOT-UHFFFAOYSA-N,,25/07/2019 11:55,20/12/2023 11:54,SUB04386MIG,1,BW9B0ZE037,"InChI=1S/C22H30N6O4S.C6H8O7/c1-5-7-17-19-20(27(4)25-17)22(29)24-21(23-19)16-14-15(8-9-18(16)32-6-2)33(30,31)28-12-10-26(3)11-13-28;7-3(8)1-6(13,5(11)12)2-4(9)10/h8-9,14H,5-7,10-13H2,1-4H3,(H,23,24,29);13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)",CCCC1=NN(C2=C1NC(=NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
241,241,ENZALUTAMIDE,202,ENZALUTAMIDE,Chemical,C21H16F4N4O2S,,WXCXUHSOUPDCQV-UHFFFAOYSA-N,,25/07/2019 11:55,20/12/2023 12:07,SUB77412,1,93T0T9GKNU,"InChI=1S/C21H16F4N4O2S/c1-20(2)18(31)28(12-5-4-11(10-26)15(8-12)21(23,24)25)19(32)29(20)13-6-7-14(16(22)9-13)17(30)27-3/h4-9H,1-3H3,(H,27,30)",CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C
242,242,ENZALUTAMIDE,203,ENZALUTAMIDE,Chemical,C21H16F4N4O2S,,WXCXUHSOUPDCQV-UHFFFAOYSA-N,,25/07/2019 11:55,20/12/2023 12:07,SUB77412,1,93T0T9GKNU,"InChI=1S/C21H16F4N4O2S/c1-20(2)18(31)28(12-5-4-11(10-26)15(8-12)21(23,24)25)19(32)29(20)13-6-7-14(16(22)9-13)17(30)27-3/h4-9H,1-3H3,(H,27,30)",CC1(C(=O)N(C(=S)N1C2=CC(=C(C=C2)C(=O)NC)F)C3=CC(=C(C=C3)C#N)C(F)(F)F)C
243,243,CARFILZOMIB,204,CARFILZOMIB,Chemical,C40H57N5O7,,BLMPQMFVWMYDKT-NZTKNTHTSA-N,,25/07/2019 11:55,01/08/2023 06:31,SUB32911,1,72X6E3J5AR,"InChI=1S/C40H57N5O7/c1-27(2)22-32(36(47)40(5)26-52-40)42-39(50)34(24-30-14-10-7-11-15-30)44-38(49)33(23-28(3)4)43-37(48)31(17-16-29-12-8-6-9-13-29)41-35(46)25-45-18-20-51-21-19-45/h6-15,27-28,31-34H,16-26H2,1-5H3,(H,41,46)(H,42,50)(H,43,48)(H,44,49)/t31-,32-,33-,34-,40+/m0/s1",CC(C)C[C@@H](C(=O)[C@]1(CO1)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC3=CC=CC=C3)NC(=O)CN4CCOCC4
244,244,CLOPIDOGREL HYDROGEN SULPHATE,205,CLOPIDOGREL HYDROGEN SULPHATE,Chemical,C16H16ClNO2S.H2O4S,,FDEODCTUSIWGLK-RSAXXLAASA-N,,25/07/2019 11:55,19/12/2023 14:07,SUB12483MIG,1,08I79HTP27,"InChI=1S/C16H16ClNO2S.H2O4S/c1-20-16(19)15(12-4-2-3-5-13(12)17)18-8-6-14-11(10-18)7-9-21-14;1-5(2,3)4/h2-5,7,9,15H,6,8,10H2,1H3;(H2,1,2,3,4)/t15-;/m0./s1",COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3.OS(=O)(=O)O
245,245,CLOPIDOGREL HYDROGEN SULPHATE,206,CLOPIDOGREL HYDROGEN SULPHATE,Chemical,C16H16ClNO2S.H2O4S,,FDEODCTUSIWGLK-RSAXXLAASA-N,,25/07/2019 11:55,19/12/2023 14:07,SUB12483MIG,1,08I79HTP27,"InChI=1S/C16H16ClNO2S.H2O4S/c1-20-16(19)15(12-4-2-3-5-13(12)17)18-8-6-14-11(10-18)7-9-21-14;1-5(2,3)4/h2-5,7,9,15H,6,8,10H2,1H3;(H2,1,2,3,4)/t15-;/m0./s1",COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3.OS(=O)(=O)O
246,246,CLOPIDOGREL HYDROCHLORIDE,207,CLOPIDOGREL HYDROCHLORIDE,Chemical,C16H16ClNO2S.ClH,,XIHVAFJSGWDBGA-RSAXXLAASA-N,,25/07/2019 11:55,17/05/2023 13:25,SUB30779,1,426O7XWS6Y,"InChI=1S/C16H16ClNO2S.ClH/c1-20-16(19)15(12-4-2-3-5-13(12)17)18-8-6-14-11(10-18)7-9-21-14;/h2-5,7,9,15H,6,8,10H2,1H3;1H/t15-;/m0./s1",COC(=O)[C@H](C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3.Cl
247,247,DESLORATADINE,208,DESLORATADINE,Chemical,C19H19ClN2,,JAUOIFJMECXRGI-UHFFFAOYSA-N,,25/07/2019 11:55,31/07/2023 11:00,SUB01596MIG,1,FVF865388R,"InChI=1S/C19H19ClN2/c20-16-5-6-17-15(12-16)4-3-14-2-1-9-22-19(14)18(17)13-7-10-21-11-8-13/h1-2,5-6,9,12,21H,3-4,7-8,10-11H2",C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
248,248,DESLORATADINE,209,DESLORATADINE,Chemical,C19H19ClN2,,JAUOIFJMECXRGI-UHFFFAOYSA-N,,25/07/2019 11:55,31/07/2023 11:00,SUB01596MIG,1,FVF865388R,"InChI=1S/C19H19ClN2/c20-16-5-6-17-15(12-16)4-3-14-2-1-9-22-19(14)18(17)13-7-10-21-11-8-13/h1-2,5-6,9,12,21H,3-4,7-8,10-11H2",C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
249,249,TRAVOPROST,210,TRAVOPROST,Chemical,C26H35F3O6,,MKPLKVHSHYCHOC-AHTXBMBWSA-N,,25/07/2019 11:55,21/12/2023 10:47,SUB12613MIG,1,WJ68R08KX9,"InChI=1S/C26H35F3O6/c1-17(2)35-25(33)11-6-4-3-5-10-21-22(24(32)15-23(21)31)13-12-19(30)16-34-20-9-7-8-18(14-20)26(27,28)29/h3,5,7-9,12-14,17,19,21-24,30-32H,4,6,10-11,15-16H2,1-2H3/b5-3-,13-12+/t19-,21-,22-,23+,24-/m1/s1",CC(C)OC(=O)CCC/C=C\C[C@H]1[C@H](C[C@H]([C@@H]1/C=C/[C@H](COC2=CC=CC(=C2)C(F)(F)F)O)O)O
250,250,RALOXIFENE HYDROCHLORIDE,211,RALOXIFENE HYDROCHLORIDE,Chemical,C28H27NO4S.ClH,,BKXVVCILCIUCLG-UHFFFAOYSA-N,,25/07/2019 11:55,04/09/2023 11:27,SUB12568MIG,1,4F86W47BR6,"InChI=1S/C28H27NO4S.ClH/c30-21-8-4-20(5-9-21)28-26(24-13-10-22(31)18-25(24)34-28)27(32)19-6-11-23(12-7-19)33-17-16-29-14-2-1-3-15-29;/h4-13,18,30-31H,1-3,14-17H2;1H",C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O.Cl
251,251,CARIPRAZINE HYDROCHLORIDE,212,CARIPRAZINE HYDROCHLORIDE,Chemical,C21H32Cl2N4O.ClH,,GPPJWWMREQHLQT-BHQIMSFRNA-N,,25/07/2019 11:55,17/05/2023 13:25,SUB122927,1,KQD7C255YG,"InChI=1S/C21H32Cl2N4O.ClH/c1-25(2)21(28)24-17-8-6-16(7-9-17)10-11-26-12-14-27(15-13-26)19-5-3-4-18(22)20(19)23;/h3-5,16-17H,6-15H2,1-2H3,(H,24,28);1H",ClC1=C(N2CCN(CC[C@H]3CC[C@H](NC(N(C)C)=O)CC3)CC2)C=CC=C1Cl.Cl
252,252,AMIFAMPRIDINE PHOSPHATE,213,AMIFAMPRIDINE PHOSPHATE,Chemical,C5H7N3.H3O4P,,KAICRBBQCRKMPO-UHFFFAOYSA-N,,25/07/2019 11:55,17/05/2023 13:28,SUB30951,1,8HF8FIN815,"InChI=1S/C5H7N3.H3O4P/c6-4-1-2-8-3-5(4)7;1-5(2,3)4/h1-3H,7H2,(H2,6,8);(H3,1,2,3,4)",C1=CN=CC(=C1N)N.OP(=O)(O)O
253,253,POSACONAZOLE,214,POSACONAZOLE,Chemical,C37H42F2N8O4,,RAGOYPUPXAKGKH-XAKZXMRKSA-N,,25/07/2019 11:55,20/12/2023 08:33,SUB20322,1,6TK1G07BHZ,"InChI=1S/C37H42F2N8O4/c1-3-35(26(2)48)47-36(49)46(25-42-47)31-7-5-29(6-8-31)43-14-16-44(17-15-43)30-9-11-32(12-10-30)50-20-27-19-37(51-21-27,22-45-24-40-23-41-45)33-13-4-28(38)18-34(33)39/h4-13,18,23-27,35,48H,3,14-17,19-22H2,1-2H3/t26-,27+,35-,37-/m0/s1",CC[C@@H]([C@H](C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OC[C@H]5C[C@](OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F
254,254,AMIFAMPRIDINE PHOSPHATE,215,AMIFAMPRIDINE PHOSPHATE,Chemical,C5H7N3.H3O4P,,KAICRBBQCRKMPO-UHFFFAOYSA-N,,25/07/2019 11:55,17/05/2023 13:28,SUB30951,1,8HF8FIN815,"InChI=1S/C5H7N3.H3O4P/c6-4-1-2-8-3-5(4)7;1-5(2,3)4/h1-3H,7H2,(H2,6,8);(H3,1,2,3,4)",C1=CN=CC(=C1N)N.OP(=O)(O)O
255,255,ALISKIREN HEMIFUMARATE,216,ALISKIREN HEMIFUMARATE,Chemical,2C30H53N3O6.C4H4O4,,KLRSDBSKUSSCGU-KRQUFFFQSA-N,,25/07/2019 11:55,17/05/2023 13:26,SUB25474,1,C8A0P8G029,"InChI=1S/2C30H53N3O6.C4H4O4/c2*1-19(2)22(14-21-10-11-26(38-8)27(15-21)39-13-9-12-37-7)16-24(31)25(34)17-23(20(3)4)28(35)33-18-30(5,6)29(32)36;5-3(6)1-2-4(7)8/h2*10-11,15,19-20,22-25,34H,9,12-14,16-18,31H2,1-8H3,(H2,32,36)(H,33,35);1-2H,(H,5,6)(H,7,8)/b;;2-1+/t2*22-,23-,24-,25-;/m00./s1",CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N.CC(C)[C@@H](CC1=CC(=C(C=C1)OC)OCCCOC)C[C@@H]([C@H](C[C@@H](C(C)C)C(=O)NCC(C)(C)C(=O)N)O)N.C(=C/C(=O)O)\C(=O)O
256,256,HYDROCHLOROTHIAZIDE,216,HYDROCHLOROTHIAZIDE,Chemical,C7H8ClN3O4S2,,JZUFKLXOESDKRF-UHFFFAOYSA-N,,25/07/2019 11:55,18/12/2023 14:58,SUB08062MIG,1,0J48LPH2TH,"InChI=1S/C7H8ClN3O4S2/c8-4-1-5-7(2-6(4)16(9,12)13)17(14,15)11-3-10-5/h1-2,10-11H,3H2,(H2,9,12,13)",C1NC2=CC(=C(C=C2S(=O)(=O)N1)S(=O)(=O)N)Cl
257,257,DOCETAXEL TRIHYDRATE,217,DOCETAXEL TRIHYDRATE,Chemical,C43H53NO14.3H2O,,XCDIRYDKECHIPE-QHEQPUDQSA-N,,25/07/2019 11:55,20/12/2023 13:42,SUB25446,1,15H5577CQD,"InChI=1S/C43H53NO14.3H2O/c1-22-26(55-37(51)32(48)30(24-15-11-9-12-16-24)44-38(52)58-39(3,4)5)20-43(53)35(56-36(50)25-17-13-10-14-18-25)33-41(8,34(49)31(47)29(22)40(43,6)7)27(46)19-28-42(33,21-54-28)57-23(2)45;;;/h9-18,26-28,30-33,35,46-48,53H,19-21H2,1-8H3,(H,44,52);3*1H2/t26-,27-,28+,30-,31+,32+,33-,35-,41+,42-,43+;;;/m0.../s1",CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O.O.O.O
258,258,APIXABAN,218,APIXABAN,Chemical,C25H25N5O4,,QNZCBYKSOIHPEH-UHFFFAOYSA-N,,25/07/2019 11:55,18/12/2023 14:57,SUB25425,1,3Z9Y7UWC1J,"InChI=1S/C25H25N5O4/c1-34-19-11-9-18(10-12-19)30-23-20(22(27-30)24(26)32)13-15-29(25(23)33)17-7-5-16(6-8-17)28-14-3-2-4-21(28)31/h5-12H,2-4,13-15H2,1H3,(H2,26,32)",COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N
259,259,NALMEFENE HYDROCHLORIDE DIHYDRATE,219,NALMEFENE HYDROCHLORIDE DIHYDRATE,Chemical,C21H25NO3.ClH.2H2O,,XOBQQQVDLSMXCE-JVRGSUDVSA-N,,25/07/2019 11:55,17/05/2023 13:29,SUB130094,1,52Z0G7QVJX,"InChI=1S/C21H25NO3.ClH.2H2O/c1-12-6-7-21(24)16-10-14-4-5-15(23)18-17(14)20(21,19(12)25-18)8-9-22(16)11-13-2-3-13;;;/h4-5,13,16,19,23-24H,1-3,6-11H2;1H;2*1H2/t16-,19+,20+,21-;;;/m1.../s1",C=C1CC[C@]2([C@H]3CC4=C5[C@]2([C@H]1OC5=C(C=C4)O)CCN3CC6CC6)O.O.O.Cl
260,260,LEFLUNOMIDE,220,LEFLUNOMIDE,Chemical,C12H9F3N2O2,,VHOGYURTWQBHIL-UHFFFAOYSA-N,,25/07/2019 11:55,07/09/2023 23:00,SUB08424MIG,1,G162GK9U4W,"InChI=1S/C12H9F3N2O2/c1-7-10(6-16-19-7)11(18)17-9-4-2-8(3-5-9)12(13,14)15/h2-6H,1H3,(H,17,18)",CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
261,261,LEFLUNOMIDE,221,LEFLUNOMIDE,Chemical,C12H9F3N2O2,,VHOGYURTWQBHIL-UHFFFAOYSA-N,,25/07/2019 11:55,07/09/2023 23:00,SUB08424MIG,1,G162GK9U4W,"InChI=1S/C12H9F3N2O2/c1-7-10(6-16-19-7)11(18)17-9-4-2-8(3-5-9)12(13,14)15/h2-6H,1H3,(H,17,18)",CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F
262,262,OPICAPONE,222,OPICAPONE,Chemical,C15H10Cl2N4O6,,ASOADIZOVZTJSR-UHFFFAOYSA-N,,25/07/2019 11:55,01/08/2023 06:31,SUB130629,1,Y5929UIJ5N,"InChI=1S/C15H10Cl2N4O6/c1-5-10(13(17)20(24)6(2)11(5)16)14-18-15(27-19-14)7-3-8(21(25)26)12(23)9(22)4-7/h3-4,22-23H,1-2H3",CC1=C(C(=[N+](C(=C1Cl)C)[O-])Cl)C2=NOC(=N2)C3=CC(=C(C(=C3)O)O)[N+](=O)[O-]
263,263,PACLITAXEL,223,PACLITAXEL,Chemical,C47H51NO14,,RCINICONZNJXQF-MZXODVADSA-N,,25/07/2019 11:55,19/12/2023 11:19,SUB09583MIG,1,P88XT4IS4D,"InChI=1S/C47H51NO14/c1-25-31(60-43(56)36(52)35(28-16-10-7-11-17-28)48-41(54)29-18-12-8-13-19-29)23-47(57)40(61-42(55)30-20-14-9-15-21-30)38-45(6,32(51)22-33-46(38,24-58-33)62-27(3)50)39(53)37(59-26(2)49)34(25)44(47,4)5/h7-21,31-33,35-38,40,51-52,57H,22-24H2,1-6H3,(H,48,54)/t31-,32-,33+,35-,36+,37+,38-,40-,45+,46-,47+/m0/s1",CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C
264,264,ARSENIC TRIOXIDE,224,ARSENIC TRIOXIDE,Chemical,As2O3,,MOQADKPFYVWPSE-UHFFFAOYSA-N,,25/07/2019 11:55,04/09/2023 12:00,SUB12467MIG,1,S7V92P67HO,InChI=1S/As2O3/c3-1-2(4)5,O=[As][As](=O)=O
265,265,FAMPRIDINE,225,FAMPRIDINE,Chemical,C5H6N2,,NUKYPUAOHBNCPY-UHFFFAOYSA-N,,25/07/2019 11:55,21/12/2023 08:17,SUB07505MIG,1,BH3B64OKL9,"InChI=1S/C5H6N2/c6-5-1-3-7-4-2-5/h1-4H,(H2,6,7)",C1=CN=CC=C1N
266,266,FAMPRIDINE,226,FAMPRIDINE,Chemical,C5H6N2,,NUKYPUAOHBNCPY-UHFFFAOYSA-N,,25/07/2019 11:55,21/12/2023 08:17,SUB07505MIG,1,BH3B64OKL9,"InChI=1S/C5H6N2/c6-5-1-3-7-4-2-5/h1-4H,(H2,6,7)",C1=CN=CC=C1N
267,267,PEMETREXED DISODIUM,227,PEMETREXED DISODIUM,Chemical,C20H19N5O6.2Na,,NYDXNILOWQXUOF-GXKRWWSZSA-L,  ,25/07/2019 11:55,19/12/2023 11:28,SUB03669MIG,1,2PKU919BA9,"InChI=1S/C20H21N5O6.2Na/c21-20-24-16-15(18(29)25-20)12(9-22-16)6-3-10-1-4-11(5-2-10)17(28)23-13(19(30)31)7-8-14(26)27;;/h1-2,4-5,9,13H,3,6-8H2,(H,23,28)(H,26,27)(H,30,31)(H4,21,22,24,25,29);;/q;2*+1/p-2/t13-;;/m0../s1",C1=CC(=CC=C1CCC2=CNC3=C2C(=O)N=C(N3)N)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Na+].[Na+]
268,268,PREGABALIN,228,PREGABALIN,Chemical,C8H17NO2,,AYXYPKUFHZROOJ-ZETCQYMHSA-N,,25/07/2019 11:55,20/12/2023 08:49,SUB10023MIG,1,55JG375S6M,"InChI=1S/C8H17NO2/c1-6(2)3-7(5-9)4-8(10)11/h6-7H,3-5,9H2,1-2H3,(H,10,11)/t7-/m0/s1",CC(C)C[C@@H](CC(=O)O)CN
269,269,ARSENIC TRIOXIDE,229,ARSENIC TRIOXIDE,Chemical,As2O3,,MOQADKPFYVWPSE-UHFFFAOYSA-N,,25/07/2019 11:55,04/09/2023 12:00,SUB12467MIG,1,S7V92P67HO,InChI=1S/As2O3/c3-1-2(4)5,O=[As][As](=O)=O
270,270,MEMANTINE HYDROCHLORIDE,230,MEMANTINE HYDROCHLORIDE,Chemical,C12H21N.ClH,,LDDHMLJTFXJGPI-UHFFFAOYSA-N,,25/07/2019 11:55,19/12/2023 14:52,SUB03137MIG,1,JY0WD0UA60,"InChI=1S/C12H21N.ClH/c1-10-3-9-4-11(2,6-10)8-12(13,5-9)7-10;/h9H,3-8,13H2,1-2H3;1H",CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl
271,271,MEMANTINE HYDROCHLORIDE,231,MEMANTINE HYDROCHLORIDE,Chemical,C12H21N.ClH,,LDDHMLJTFXJGPI-UHFFFAOYSA-N,,25/07/2019 11:55,19/12/2023 14:52,SUB03137MIG,1,JY0WD0UA60,"InChI=1S/C12H21N.ClH/c1-10-3-9-4-11(2,6-10)8-12(13,5-9)7-10;/h9H,3-8,13H2,1-2H3;1H",CC12CC3CC(C1)(CC(C3)(C2)N)C.Cl
272,272,PITOLISANT HYDROCHLORIDE,232,PITOLISANT HYDROCHLORIDE,Chemical,C17H26ClNO.ClH,,XLFKECRRMPOAQS-UHFFFAOYSA-N,,25/07/2019 11:55,17/05/2023 13:29,SUB166257,1,YV33CH63HI,"InChI=1S/C17H26ClNO.ClH/c18-17-9-7-16(8-10-17)6-4-14-20-15-5-13-19-11-2-1-3-12-19;/h7-10H,1-6,11-15H2;1H",C1CCN(CC1)CCCOCCCC2=CC=C(C=C2)Cl.Cl
273,273,ARIPIPRAZOLE,233,ARIPIPRAZOLE,Chemical,C23H27Cl2N3O2,,CEUORZQYGODEFX-UHFFFAOYSA-N,,25/07/2019 11:55,18/12/2023 14:54,SUB05564MIG,1,82VFR53I78,"InChI=1S/C23H27Cl2N3O2/c24-19-4-3-5-21(23(19)25)28-13-11-27(12-14-28)10-1-2-15-30-18-8-6-17-7-9-22(29)26-20(17)16-18/h3-6,8,16H,1-2,7,9-15H2,(H,26,29)",C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
274,274,ARIPIPRAZOLE,234,ARIPIPRAZOLE,Chemical,C23H27Cl2N3O2,,CEUORZQYGODEFX-UHFFFAOYSA-N,,25/07/2019 11:55,18/12/2023 14:54,SUB05564MIG,1,82VFR53I78,"InChI=1S/C23H27Cl2N3O2/c24-19-4-3-5-21(23(19)25)28-13-11-27(12-14-28)10-1-2-15-30-18-8-6-17-7-9-22(29)26-20(17)16-18/h3-6,8,16H,1-2,7,9-15H2,(H,26,29)",C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
275,275,ARIPIPRAZOLE,235,ARIPIPRAZOLE,Chemical,C23H27Cl2N3O2,,CEUORZQYGODEFX-UHFFFAOYSA-N,,25/07/2019 11:55,18/12/2023 14:54,SUB05564MIG,1,82VFR53I78,"InChI=1S/C23H27Cl2N3O2/c24-19-4-3-5-21(23(19)25)28-13-11-27(12-14-28)10-1-2-15-30-18-8-6-17-7-9-22(29)26-20(17)16-18/h3-6,8,16H,1-2,7,9-15H2,(H,26,29)",C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
276,276,ARIPIPRAZOLE,236,ARIPIPRAZOLE,Chemical,C23H27Cl2N3O2,,CEUORZQYGODEFX-UHFFFAOYSA-N,,25/07/2019 11:55,18/12/2023 14:54,SUB05564MIG,1,82VFR53I78,"InChI=1S/C23H27Cl2N3O2/c24-19-4-3-5-21(23(19)25)28-13-11-27(12-14-28)10-1-2-15-30-18-8-6-17-7-9-22(29)26-20(17)16-18/h3-6,8,16H,1-2,7,9-15H2,(H,26,29)",C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
277,277,BEMPEDOIC ACID,237,BEMPEDOIC ACID,Chemical,C19H36O5,,HYHMLYSLQUKXKP-UHFFFAOYSA-N,,25/07/2019 11:55,01/08/2023 06:31,SUB183128,1,1EJ6Z6Q368,"InChI=1S/C19H36O5/c1-18(2,16(21)22)13-9-5-7-11-15(20)12-8-6-10-14-19(3,4)17(23)24/h15,20H,5-14H2,1-4H3,(H,21,22)(H,23,24)",CC(C)(CCCCCC(CCCCCC(C)(C)C(=O)O)O)C(=O)O
278,278,PALONOSETRON HYDROCHLORIDE,238,PALONOSETRON HYDROCHLORIDE,Chemical,C19H24N2O.ClH,,OLDRWYVIKMSFFB-SSPJITILSA-N,,25/07/2019 11:55,19/12/2023 11:21,SUB20365,1,23310D4I19,"InChI=1S/C19H24N2O.ClH/c22-19-16-6-2-4-14-3-1-5-15(18(14)16)11-21(19)17-12-20-9-7-13(17)8-10-20;/h2,4,6,13,15,17H,1,3,5,7-12H2;1H/t15-,17-;/m1./s1",C1C[C@@H]2CN(C(=O)C3=CC=CC(=C23)C1)[C@@H]4CN5CCC4CC5.Cl
279,279,SILODOSIN,239,SILODOSIN,Chemical,C25H32F3N3O4,,PNCPYILNMDWPEY-QGZVFWFLSA-N,,25/07/2019 11:55,20/12/2023 11:55,SUB23152,1,CUZ39LUY82,"InChI=1S/C25H32F3N3O4/c1-17(30-8-12-34-21-5-2-3-6-22(21)35-16-25(26,27)28)13-18-14-19-7-10-31(9-4-11-32)23(19)20(15-18)24(29)33/h2-3,5-6,14-15,17,30,32H,4,7-13,16H2,1H3,(H2,29,33)/t17-/m1/s1",C[C@H](CC1=CC2=C(C(=C1)C(=O)N)N(CC2)CCCO)NCCOC3=CC=CC=C3OCC(F)(F)F
280,280,TEGAFUR,240,TEGAFUR,Chemical,C8H9FN2O3,,WFWLQNSHRPWKFK-UHFFFAOYSA-N,,25/07/2019 11:55,31/07/2023 10:59,SUB10870MIG,1,1548R74NSZ,"InChI=1S/C8H9FN2O3/c9-5-4-11(6-2-1-3-14-6)8(13)10-7(5)12/h4,6H,1-3H2,(H,10,12,13)",C1CC(OC1)N2C=C(C(=O)NC2=O)F
281,281,GIMERACIL,240,GIMERACIL,Chemical,C5H4ClNO2,,ZPLQIPFOCGIIHV-UHFFFAOYSA-N,,25/07/2019 11:55,31/07/2023 11:00,SUB21055,1,UA8SE1325T,"InChI=1S/C5H4ClNO2/c6-3-2-7-5(9)1-4(3)8/h1-2H,(H2,7,8,9)",C1=C(NC=C(C1=O)Cl)O
282,282,OTERACIL MONOPOTASSIUM,240,OTERACIL MONOPOTASSIUM,Chemical,C4H2N3O4.K,,IAPCTXZQXAVYNG-UHFFFAOYSA-M,,25/07/2019 11:55,17/05/2023 13:25,SUB21056,1,4R7FFA00RX,"InChI=1S/C4H3N3O4.K/c8-2(9)1-5-3(10)7-4(11)6-1;/h(H,8,9)(H2,5,6,7,10,11);/q;+1/p-1",C1(=NC(=O)NC(=O)N1)C(=O)[O-].[K+]
