,Value_x,Value_z
471,GLYCEROL,GLYCEROL 85%
472,GLYCEROL,GLYCERYL
473,GLYCEROL DIBEHENATE,GLYCEROL DIBEHENATE
474,GLYCEROL DIOLEATE,GLYCEROL DIOLEATE
477,GLYCEROL MONOCAPRYLOCAPRATE,GLYCEROL MONOCAPRYLOCAPRATE
478,GLYCEROL MONOCAPRYLOCAPRATE,GLYCEROL MONOCAPRYLOCAPRATE (E422)
479,GLYCEROL MONOCAPRYLOCAPRATE,GLYCEROL MONOCAPRYLOCAPRATE (TYPE I)
480,GLYCEROL MONOCAPRYLOCAPRATE,GLYCEROL MONOCAPRYLOCAPROATE (TYPE I)
481,GLYCEROL MONOCAPRYLOCAPRATE,GLYCERYL MONOCAPRYLOCAPRATE
482,GLYCEROL MONOOLEATE,GLYCEROL MONOOLEATE
483,GLYCEROL MONOOLEATE,GLYCEROL MONO-OLEATE
484,GLYCEROL MONOOLEATE,GLYCERYL MONOOLEATE
485,GLYCEROL MONOOLEATE,GLYCERYL MONO-OLEATE
486,GLYCEROL MONOSTEARATE,GLYCERYL MONOSTEARATE (E471)
487,GLYCEROL MONOSTEARATE,GLYCERYL STEARATE;
488,GLYCEROL MONOSTEARATE,GLYCEROL MONOSTEARATE 40-55
489,GLYCEROL MONOSTEARATE,GLYCEROL MONOSTEARATE 40-55 (TYPE I)
490,GLYCEROL TRIACETATE,GLYCEROL TRIACETATE
491,GLYCEROL TRIACETATE,GLYCEROL TRIACETATE (E1518)
492,GLYCEROL TRIACETATE,GLYCEROL TRIACETATE.
493,GLYCEROL TRIACETATE,GLYCERYL TRIACETATE
495,GLYCEROL TRICAPRYLATE,TRICAPRYLIN
497,GLYCINE HYDROCHLORIDE,GLYCINE HYDROCHLORIDE
499,GLYCOL-MODIFIED POLYETHYLENE TEREPHTHALATE,BOTTOM HOUSING UNIT: GLYCOL-MODIFIED POLYETHYLENE TEREPHTHALATE
500,GUAR,GUAR
501,HARD FAT,HARD FAT
502,HARD FAT,HARD FAT (ADEPS SOLIDUS)
503,HEAVY KAOLIN,HEAVY KAOLIN (E 559)
504,HELIOTROPIN,HELIOTROPIN
505,HEXAMETHYLENEGLYCOL DIMETHACRYLATE POLYMER DOMAINS,HEXAMETHYLENEGLYCOL DIMETHACRYLATE POLYMER DOMAINS
506,HIGH FRUCTOSE CORN SYRUP,HIGH FRUCTOSE CORN SYRUP
507,HISTIDINE,HISTIDINE
509,HUMAN ALBUMIN,ALBUMIN (HUMAN)
510,HUMAN ALBUMIN,HUMAN ALBUMIN
511,HUMAN ALBUMIN,HUMAN ALBUMIN SOLUTION (CONTAINING SODIUM CAPRYLATE AND N-ACETYL-L-TRYPTOPHAN).
512,HYDROCHLORIC ACID,CONCENTRATED (E507) (FOR PH ADJUSTMENT)
513,HYDROCHLORIC ACID,CONCENTRATED HYDROCHLORIC ACID
514,HYDROCHLORIC ACID,CONCENTRATED HYDROCHLORIC ACID (FOR PH ADJUSTMENT)
515,HYDROCHLORIC ACID,HYDROCHLORIC ACID
516,HYDROCHLORIC ACID,HYDROCHLORIC ACID (0.04 M)
517,HYDROCHLORIC ACID,HYDROCHLORIC ACID (0.1 N)
518,HYDROCHLORIC ACID,HYDROCHLORIC ACID (0.36%) OR SODIUM HYDROXIDE (FOR PH ADJUSTMENT)
519,HYDROCHLORIC ACID,HYDROCHLORIC ACID (E 507) (PH ADJUSTMENT)
520,HYDROCHLORIC ACID,HYDROCHLORIC ACID (E507)
521,HYDROCHLORIC ACID,HYDROCHLORIC ACID (E507) (1M FOR PH ADJUSTMENT)
522,HYDROCHLORIC ACID,HYDROCHLORIC ACID (E507) (FOR PH ADJUSTMENT)
523,HYDROCHLORIC ACID,HYDROCHLORIC ACID (E507) (TO ADJUST PH)
524,HYDROCHLORIC ACID,HYDROCHLORIC ACID (FOR PH ADJUSTMENT AND CONVERSION OF MIDAZOLAM TO THE HYDROCHLORIDE SALT)
525,HYDROCHLORIC ACID,HYDROCHLORIC ACID (FOR PH ADJUSTMENT)
528,HYDROCHLORIC ACID,HYDROCHLORIC ACID (FOR PH-ADJUSTMENT)
530,HYDROCHLORIC ACID,HYDROCHLORIC ACID (PH ADJUSTMENT)
531,HYDROCHLORIC ACID,HYDROCHLORIC ACID (TO ADJUST PH)
532,HYDROCHLORIC ACID,HYDROCHLORIC ACID (TO ADJUST PH) (E507)
533,HYDROCHLORIC ACID,HYDROCHLORIC ACID [FOR PH ADJUSTMENT]
534,HYDROCHLORIC ACID,HYDROCHLORIC ACID 1M
535,HYDROCHLORIC ACID,HYDROCHLORIC ACID 25% (FOR PH ADJUSTMENT)
537,HYDROCHLORIC ACID,HYDROCHLORIC ACID 30 %
538,HYDROCHLORIC ACID,HYDROCHLORIC ACID AND/OR SODIUM HYDROXIDE (FOR PH ADJUSTMENT)
540,HYDROCHLORIC ACID,HYDROCHLORIC ACID AND/OR SODIUM HYDROXIDE (TO ADJUST PH)
541,HYDROCHLORIC ACID,HYDROCHLORIC ACID CONCENTRATED (E 507) (FOR PH ADJUSTMENT)
542,HYDROCHLORIC ACID,HYDROCHLORIC ACID CONCENTRATED (FOR PH ADJUSTMENT)
543,HYDROCHLORIC ACID,HYDROCHLORIC ACID DILUTED (E507) (FOR PH ADJUSTMENT)
545,HYDROCHLORIC ACID,HYDROCHLORIC ACID OR SODIUM HYDROXIDE (FOR PH ADJUSTMENT)
546,HYDROCHLORIC ACID,HYDROCHLORIC ACID OR SODIUM HYDROXIDE (TO ADJUST PH)
547,HYDROCHLORIC ACID,HYDROCHLORIC ACID TO ADJUST PH TO APPROXIMATELY 6
548,HYDROCHLORIC ACID,HYDROCHLORIC ACID.
549,HYDROCHLORIC ACID,HYDROCHLORIC ACID/SODIUM HYDROXIDE (TO ADJUST PH)
550,HYDROGENATED CASTOR OIL,HYDROGENATED CASTOR OIL
551,HYDROGENATED SOY PHOSPHATIDYLCHOLINE,HYDROGENATED SOY PHOSPHATIDYLCHOLINE (HSPC)
552,HYDROGENATED VEGETABLE OIL,HYDROGENATED VEGETABLE OIL
553,HYDROGENATED VEGETABLE OIL,HYDROGENATED VEGETABLE OIL (FROM SOYABEAN)
554,HYDROPHOBIC COLLOIDAL SILICA,HYDROPHOBIC COLLOIDAL
555,HYDROPHOBIC COLLOIDAL SILICA,HYDROPHOBIC COLLOIDAL SILICA
556,HYDROXY PROPYL CELLULOSE (LOW SUBSTITUTED),HYDROXY PROPYL CELLULOSE (LOW SUBSTITUTED)
557,HYDROXY PROPYL CELLULOSE (LOW SUBSTITUTED),HYDROXY PROPYL CELLULOSE-L
558,HYDROXY PROPYL CELLULOSE (LOW SUBSTITUTED),HYDROXYPROPYLCELLULOSE (L)
559,HYDROXY PROPYL CELLULOSE (LOW SUBSTITUTED),HYDROXYPROPYLCELLULOSE (LOW SUBSTITUTED)
560,HYDROXYETHYLCELLULOSE,HYDROXYETHYL CELLULOSE
561,HYDROXYETHYLCELLULOSE,HYDROXYETHYLCELLULOSE
562,HYDROXYETHYLCELLULOSE,HYDROXYETHYLCELLULOSE (E 1525)
563,HYDROXYPROPYLBETADEX,HYDROXYPROPYLBETADEX
564,HYDROXYPROPYLBETADEX,HYDROXYPROPYLBETADEX (2-HYDROXYPROPYL-SS-CYCLODEXTRIN)
565,HYDROXYPROPYLBETADEX,HYDROXYPROPYLBETADEX (CYCLODEXTRIN)
566,HYDROXYPROPYLBETADEX,HYDROXYPROPYLBETADEX 0.69
569,HYDROXYPROPYLCELLULOSE,HYDROXYLPROPYLCELLULOSE
570,HYDROXYPROPYLCELLULOSE,HYDROXYPROPYL CELLULOSE
571,HYDROXYPROPYLCELLULOSE,HYDROXYPROPYL CELLULOSE (E463)
572,HYDROXYPROPYLCELLULOSE,HYDROXYPROPYLCELLULOSE
573,HYDROXYPROPYLCELLULOSE,HYDROXYPROPYLCELLULOSE (E 463)
574,HYDROXYPROPYLCELLULOSE,HYDROXYPROPYLCELLULOSE (E463)
575,HYDROXYPROPYLCELLULOSE,HYDROXYPROPYL-CELLULOSE (E463)
576,HYDROXYPROPYLCELLULOSE,TABLET COREHYDROXYPROPYLCELLULOSEMICROCRYSTALLINE CELLULOSELACTOSE MONOHYDRATECROSPOVIDONEMAGNESIUM STEARATEMEDICINAL PRODUCT NO LONGER AUTHORISED19TABLET COATHYPROMELLOSETITANIUM DIOXIDE(E171)TRIACETINIRON OXIDE YELLOW (E172)IRON OXIDE RED(E172)
577,HYDROXYPROPYLCELLULOSE,HYDROXYPROPYLCELLULOSE.
578,HYDROXYPROPYLCELLULOSE,HYDROXYPROPYLCELLULOSELACTOSE MONOHYDRATE
579,HYDROXYPROPYLCELLULOSE,HYDROXYPROPYLCELLULOSE 100 CP
580,HYDROXYPROPYLCELLULOSE,HYDROXYPROPYLCELLULOSE 300 TO 600 CPS
581,HYDROXYPROPYLCELLULOSE,HYPROLOSE
582,HYPROMELLOSE,HYDROXYPROPYL METHYLCELLULOSE
583,HYPROMELLOSE,HYDROXYPROPYL METHYLCELLULOSE (E464)
584,HYPROMELLOSE,HYDROXYPROPYLMETHYLCELLULOSE
585,HYPROMELLOSE,HYPROMELLOSE PH.EUR
586,HYPROMELLOSE,HYPROMELLOSE (3 MPA.S)
587,HYPROMELLOSE,HYPROMELLOSE (6 MPA·S
588,HYPROMELLOSE,HYPROMELLOSE (6CPS)
589,HYPROMELLOSE,E464)
590,HYPROMELLOSE,CLEAR COAT (CONTAINING HYPROMELLOSE
591,HYPROMELLOSE,HYPROMELLOSE
592,HYPROMELLOSE,HYPROMELLOSE.
593,HYPROMELLOSE,HYPROMELLOSE (E 464)
594,HYPROMELLOSE,HYPROMELLOSE (E464)
595,HYPROMELLOSE,HYPROMELLOSE (HPMC)
596,HYPROMELLOSE,HYPROMELLOSE (HYDROXYPROPYL METHYL CELLULOSE
597,HYPROMELLOSE,HYPROMELLOSE (E5)
598,HYPROMELLOSE,HYPROMELLOSE (E-5)
599,HYPROMELLOSE,TABLET COREHYPROMELLOSEMICROCRYSTALLINE CELLULOSELACTOSE MONOHYDRATECROSPOVIDONETYPE AMAGNESIUM STEARATETABLET COATHYPROMELLOSETITANIUM DIOXIDETRIACETININDIGO CARMINEBRILLIANT BLUE FCFMEDICINAL PRODUCT NO LONGER AUTHORISED15
600,HYPROMELLOSE,HYPROMELLOSE 15 CP
601,HYPROMELLOSE,HYPROMELLOSE 15 MPA.S (E464)
603,HYPROMELLOSE,HYPROMELLOSE 2208
605,HYPROMELLOSE,HYPROMELLOSE 2208 (E464)
606,HYPROMELLOSE,HYPROMELLOSE (2910)
607,HYPROMELLOSE,HYPROMELLOSE (2910/15 MPA·S) (E464)
608,HYPROMELLOSE,HYPROMELLOSE (HPMC 2910)
609,HYPROMELLOSE,-  HYPROMELLOSE 2910
610,HYPROMELLOSE,- HYPROMELLOSE 2910
611,HYPROMELLOSE,HYPROMELLOSE 2910
612,HYPROMELLOSE,HYPROMELLOSE 2910 (15 MPA.S)
614,HYPROMELLOSE,HYPROMELLOSE 2910 (15 MPA·S)
618,HYPROMELLOSE,HYPROMELLOSE 2910 (6 MPA·S)
619,HYPROMELLOSE,HYPROMELLOSE 2910 (E 464)
620,HYPROMELLOSE,HYPROMELLOSE 2910 (E464)
621,HYPROMELLOSE,HYPROMELLOSE 2910 (NOMINAL VISCOSITY 5.1 MPA.S) (E464)
622,HYPROMELLOSE,HYPROMELLOSE 2910 6 MPA.S
623,HYPROMELLOSE,HYPROMELLOSE 2910/6 (E464)
624,HYPROMELLOSE,- HYPROMELLOSE 2910/6CP
626,HYPROMELLOSE,HYPROMELLOSE 6 CP
627,HYPROMELLOSE,HYPROMELLOSE 6 CPS (E464)
628,HYPROMELLOSE,HYPROMELLOSE 6 MPAS
629,HYPROMELLOSE,HYPROMELLOSE 6CP
630,HYPROMELLOSE,HYPROMELLOSE 6CP (E464)
631,HYPROMELLOSE,HYPROMELLOSE 6CP (HPMC 2910)
632,HYPROMELLOSE,HYPROMELLOSE SUBSTITUTION TYPE 2910 (3 MPA·S)
633,HYPROMELLOSE,HYPROMELLOSE TYPE 2910 (E464)
634,HYPROMELLOSE,SUBSTITUTION TYPE 2910 (3 MPA.S)
635,HYPROMELLOSE,SUBSTITUTION TYPE 2910 (3 MPA·S)
636,HYPROMELLOSE,HYPROMELLOSE 3 CP
637,HYPROMELLOSE,HYPROMELLOSE 3CP
638,HYPROMELLOSE,HYPROMELLOSE 3CP (E464)
639,HYPROMELLOSE,HYPROMELLOSE 5 CP
640,HYPROMELLOSE,HYPROMELLOSE 50CP (E464)
641,HYPROMELLOSE,HYPROMELLOSE MACROGOL 4000
642,HYPROMELLOSE ACETATE SUCCINATE,HYPROMELLOSE ACETATE SUCCINATE
643,HYPROMELLOSE PHTHALATE,HYPROMELLOSE PHTHALATE
644,INDIGO CARMINE,BLUE INDIGO CARMINE ALUMINIUM LAKE
645,INDIGO CARMINE,CARMINE BLUE (E132)
646,INDIGO CARMINE,CARMINE BLUE (E132).
647,INDIGO CARMINE,ALUMINIUM LAKE (E132)
649,INDIGO CARMINE,COLOURING AGENT (E 132)
650,INDIGO CARMINE,E132)
651,INDIGO CARMINE,COLORANT (INDIGO CARMINE E132 ALUMINIUM LAKE).
652,INDIGO CARMINE,FD AND C BLUE 2 (INDIGO CARMINE
653,INDIGO CARMINE,FD&C BLUE #2 INDIGO CARMINE ALUMINIUM LAKE (E132)
654,INDIGO CARMINE,FD&C BLUE #2/INDIGO CARMINE ALUMINUM LAKE (E132) (10 MG STRENGTH ONLY)
655,INDIGO CARMINE,FD&C BLUE (E132)
657,INDIGO CARMINE,INDIGO
658,INDIGO CARMINE,(E132)
659,INDIGO CARMINE,INDIGO CARMINE
660,INDIGO CARMINE,INDIGO CARMINE (E 132)
661,INDIGO CARMINE,INDIGO CARMINE (E 132) ALUMINIUM LAKE
662,INDIGO CARMINE,INDIGO CARMINE (E 132) AND IRON OXIDE (E 172).
663,INDIGO CARMINE,INDIGO CARMINE (E 132).
664,INDIGO CARMINE,INDIGO CARMINE (E132)
665,INDIGO CARMINE,INDIGO CARMINE (E132) ALUMINIUM LAKE
666,INDIGO CARMINE,INDIGO CARMINE (E132) AS POWDER.
667,INDIGO CARMINE,INDIGO CARMINE (E132).
668,INDIGO CARMINE,INDIGO CARMINE ALUMINIUM (E132)
669,INDIGO CARMINE,INDIGO CARMINE ALUMINIUM LAKE
670,INDIGO CARMINE,INDIGO CARMINE ALUMINIUM LAKE (E 132)
671,INDIGO CARMINE,INDIGO CARMINE ALUMINIUM LAKE (E132)
672,INDIGO CARMINE,INDIGO CARMINE ALUMINIUM LAKE (E132) (GENVOYA 150 MG/150 MG/200 MG/10 MG TABLETS ONLY)
673,INDIGO CARMINE,INDIGO CARMINE ALUMINIUM LAKE (E132).
674,INDIGO CARMINE,INDIGO CARMINE ALUMINIUM LAKE E132
675,INDIGO CARMINE,INDIGO CARMINE ALUMINUM LAKE
676,INDIGO CARMINE,INDIGO CARMINE ALUMINUM LAKE (E 132)
677,INDIGO CARMINE,INDIGO CARMINE ALUMINUM LAKE (E132)
678,INDIGO CARMINE,INDIGO CARMINE COLOUR (E132))
679,INDIGO CARMINE,INDIGO CARMINE -E132
680,INDIGO CARMINE,INDIGO CARMINE E132)
683,INDIGO CARMINE,INDIGOTIN (E132))
684,INDIGO CARMINE,INDIGOTINE (E 132)
685,INDIGO CARMINE,INDIGOTINE (E132)
686,INDIGO CARMINE,INDIGOTINE (INDIGO CARMINE ALUMINIUM LAKE FD&C BLUE #2)
687,IRON OXIDE,BROWN IRON OXIDE (E172)
688,IRON OXIDE,BLACK FERRIC OXIDE (E172)
689,IRON OXIDE,FERRIC OXIDE
690,IRON OXIDE,FERRIC OXIDE (RED) (E172)
691,IRON OXIDE,FERRIC OXIDE (YELLOW) (E172)
692,IRON OXIDE,FERRIC OXIDE BLACK (E 172)
693,IRON OXIDE,FERRIC OXIDE BLACK (E172)
694,IRON OXIDE,FERRIC OXIDE RED (E 172)
695,IRON OXIDE,FERRIC OXIDE RED (E172)
696,IRON OXIDE,FERRIC OXIDE YELLOW (E172)
697,IRON OXIDE,BLACK (E 172)
698,IRON OXIDE,BLACK (E172)
700,IRON OXIDE,BLACK INK ON HARD CAPSULES CONTAINING E172
701,IRON OXIDE,BLACK IRON OXIDE
702,IRON OXIDE,BLACK IRON OXIDE - SYNTHETIC (E172)
703,IRON OXIDE,BLACK IRON OXIDE (E 172)
704,IRON OXIDE,BLACK IRON OXIDE (E 172).
705,IRON OXIDE,BLACK IRON OXIDE (E172)
706,IRON OXIDE,BLACK IRON OXIDE (E172) (20 MG CAPSULES ONLY)
707,IRON OXIDE,BLACK IRON OXIDE (E172) (FOR 50/1000 MG ONLY)
710,IRON OXIDE,IRON (III) OXIDE (E 172)
711,IRON OXIDE,(E172)
712,IRON OXIDE,IRON OXIDE
713,IRON OXIDE,IRON OXIDE (BLACK) (E172)
714,IRON OXIDE,IRON OXIDE (E172)
715,IRON OXIDE,IRON OXIDE BLACK
716,IRON OXIDE,IRON OXIDE BLACK (E 172)
717,IRON OXIDE,IRON OXIDE BLACK (E172)
718,IRON OXIDE,IRON OXIDE BLACK (E172) (15 MG STRENGTH ONLY)
719,IRON OXIDE,IRON OXIDE BLACK (E172) (150 MG TABLETS ONLY)
720,IRON OXIDE,IRON OXIDE BLACK (E172) (GENVOYA 90 MG/90 MG/120 MG/6 MG TABLETS ONLY)
721,IRON OXIDE,IRON OXIDE BLACK (E172; 25 MG AND 50 MG TABLETS)
722,IRON OXIDE,IRON OXIDE COLORANT (E172)
726,IRON OXIDE,IRON OXIDE RED
727,IRON OXIDE,IRON OXIDE RED (E 172)
728,IRON OXIDE,IRON OXIDE RED (E 172) (VERQUVO 5 MG ONLY)
729,IRON OXIDE,IRON OXIDE RED (E172)
730,IRON OXIDE,IRON OXIDE RED (E172) [ONLY PRASUGREL MYLAN 10 MG]
731,IRON OXIDE,IRON OXIDE RED (E172) (100 MG TABLETS ONLY)
732,IRON OXIDE,IRON OXIDE RED (E172) (75 MG AND 125 MG TABLETS ONLY)
733,IRON OXIDE,IRON OXIDE RED (E172) {ONLY EFIENT 10 MG}
734,IRON OXIDE,IRON OXIDE RED (E172).
735,IRON OXIDE,IRON OXIDE RED (E172; 25 MG AND 50 MG TABLETS)
736,IRON OXIDE,IRON OXIDE RED (ONLY FOR 480 MG TABLETS) (E172)
737,IRON OXIDE,IRON OXIDE RED AND YELLOW (E172)
739,IRON OXIDE,IRON OXIDE RED E172)
740,IRON OXIDE,IRON OXIDE RED E172.
741,IRON OXIDE,THE 20 MG TABLETS ALSO CONTAIN IRON OXIDE YELLOW (E172).
742,IRON OXIDE,THE 30 MG TABLETS ALSO CONTAIN IRON OXIDE YELLOW (E172) AND IRON OXIDE BLACK (E172).
743,IRON OXIDE,IRON OXIDE YELLOW AND RED
744,IRON OXIDE,IRON OXIDE YELLOW AND RED (E 172)
746,IRON OXIDE,RED AND BLACK (E172)
747,IRON OXIDE,RED AND BLACK FERRIC OXIDES
748,IRON OXIDE,RED AND YELLOW FERRIC OXIDES
750,IRON OXIDE,IRON RED OXIDE (E172)
751,IRON OXIDE,RED
752,IRON OXIDE,RED (E 172)
753,IRON OXIDE,RED (E172)
754,IRON OXIDE,RED FERRIC OXIDE (E172)
755,IRON OXIDE,RED FERRIC OXIDE E172
756,IRON OXIDE,RED IRON OXIDE
757,IRON OXIDE,RED IRON OXIDE (E 172)
758,IRON OXIDE,RED IRON OXIDE (E 172) (75 MG CAPSULES ONLY)
759,IRON OXIDE,RED IRON OXIDE (E 172).
760,IRON OXIDE,LACOSAMIDE UCB 50 MG FILM-COATED TABLETS: RED IRON OXIDE (E172)
761,IRON OXIDE,RED IRON OXIDE (E172)
762,IRON OXIDE,RED IRON OXIDE (E172) (80 MG CAPSULES ONLY)
763,IRON OXIDE,RED IRON OXIDE (E172) (CAPSULE BODY ONLY)
764,IRON OXIDE,RED IRON OXIDE (E172) – ONLY IN 2 MG TABLETS
765,IRON OXIDE,RED IRON OXIDE (E172).
766,IRON OXIDE,RED IRON OXIDE DEHYDRATE (E172)
767,IRON OXIDE,RED IRON OXIDE E172
768,IRON OXIDE,RED IRON OXIDE)
769,IRON OXIDE,REDDISH-BROWN IRON OXIDE (E172)
770,IRON OXIDE,YELLOW
771,IRON OXIDE,IRON OXIDE YELLOW
772,IRON OXIDE,IRON OXIDE YELLOW (E 172)
773,IRON OXIDE,IRON OXIDE YELLOW (E 172) (VERQUVO 10 MG ONLY)
774,IRON OXIDE,IRON OXIDE YELLOW (E172)
775,IRON OXIDE,IRON OXIDE YELLOW (E172) (100 MG TABLETS ONLY)
776,IRON OXIDE,IRON OXIDE YELLOW (E172) (45 MG STRENGTH ONLY)
777,IRON OXIDE,IRON OXIDE YELLOW (E172) (FOR 25 MG AND 50 MG TABLETS)
779,IRON OXIDE,IRON OXIDE YELLOW (E172);
780,IRON OXIDE,IRON OXIDE YELLOW (E172; 50 MG TABLETS)
782,IRON OXIDE,IRON OXIDE YELLOW(E172)
783,IRON OXIDE,IRON OXIDE YELLOW.
784,IRON OXIDE,YELLOW (E 172)
785,IRON OXIDE,YELLOW (E172)
787,IRON OXIDE,YELLOW FERRIC OXIDE (E172)
788,IRON OXIDE,YELLOW IRON OXIDE
789,IRON OXIDE,YELLOW IRON OXIDE   (E172)
790,IRON OXIDE,YELLOW IRON OXIDE - SYNTHETIC (E172)
791,IRON OXIDE,YELLOW IRON OXIDE (E 172)
792,IRON OXIDE,YELLOW IRON OXIDE (E 172).
793,IRON OXIDE,YELLOW IRON OXIDE (E172 – 100 MG HARD CAPSULE)
794,IRON OXIDE,YELLOW IRON OXIDE (E172)
795,IRON OXIDE,YELLOW IRON OXIDE (E172) (4 MG CAPSULES ONLY)
796,IRON OXIDE,YELLOW IRON OXIDE (E172) – ONLY IN 1 MG TABLETS
797,IRON OXIDE,YELLOW IRON OXIDE (E172) AND RED IRON OXIDE (E172).
798,IRON OXIDE,YELLOW IRON OXIDE (E172).
799,IRON OXIDE,YELLOW IRON OXIDE DEHYDRATE (E172)
800,IRON OXIDE,YELLOW IRON OXIDE E172
802,IRON OXIDE,SYNTHETIC YELLOW AND RED IRON OXIDES
803,ISOMALT,ISOMALT (E 953)
804,ISOPROPYL ALCOHOL,ISOPROPYL ALCOHOL
805,ISOPROPYL MYRISTATE,ISOPROPYL MYRISTATE
806,ISOSTEARIC ACID,ISOSTEARIC ACID
807,JUICE,GRAPE JUICE CONCENTRATE
808,JUICE,PINEAPPLE JUICE CONCENTRATE
809,JUICE,CONCENTRATED RASPBERRY JUICE
810,LACTIC ACID,LACTIC ACID
811,LACTIC ACID,LACTIC ACID (E 270)
812,LACTIC ACID,LACTIC ACID (E270)
814,LACTOSE,LACTOSE
815,LACTOSE,LACTOSE (ANHYDROUS)
816,LACTOSE,LACTOSE ANHYDROUS
817,LACTOSE,ANHYDROUS LACTOSE
818,LACTOSE MONOHYDRATE,LACTOSE (AS MONOHYDRATE)
820,LACTOSE MONOHYDRATE,LACTOSE MONOHYDRATE
821,LACTOSE MONOHYDRATE,LACTOSE MONOHYDRATE (MAY CONTAIN MILK PROTEINS)
822,LACTOSE MONOHYDRATE,LACTOSE MONOHYDRATE (WHICH CONTAINS MILK PROTEINS).
823,LACTOSE MONOHYDRATE,LACTOSE MONOHYDRATE (WHICH MAY INCLUDE MILK PROTEINS).
825,LACTOSE MONOHYDRATE,LACTOSE MONOHYDRATE EGG PHOSPHATIDYLGLYCEROL DIMYRISTOYL PHOSPHATIDYLCHOLINE ASCORBYL PALMITATE BUTYLATED HYDROXYTOLUENE (E321)
826,LACTOSE MONOHYDRATE,LACTOSE MONOHYDRATE.
827,LATOLRUBINE BK,LATOLRUBINE BK (E180)
828,LAUROYL MACROGOLGLYCERIDES TYPE 1500,LAUROYL MACROGOLGLYCERIDES TYPE 1500
829,LAURYL LACTATE,LAURYL LACTATE.
831,LECITHIN,LECITHIN (DERIVED FROM SOYA BEAN (E322))
832,LECITHIN,LECITHIN (DERIVED FROM SOYA)
833,LECITHIN,LECITHIN (E322)
834,LECITHIN,LECITHIN (SOY)
835,LECITHIN,LECITHIN (SOYA)
836,LECITHIN,LECITHIN (SOYA) (E322)
837,LECITHIN,LECITHIN (SOYBEANS)
838,LECITHIN,SUNFLOWER LECITHIN (E 322)
839,LECITHIN,SOYA BEAN LECITHIN (E322)
840,LECITHIN,SOYA LECITHIN
841,LECITHIN,SOYA LECITHIN (E 322)
842,LECITHIN,SOYA LECITHIN (E322)
843,LECITHIN,SOYBEAN LECITHIN
845,LEVOMENTHOL,LEVOMENTHOL
846,LEVOMENTHOL,LEVOMENTHOL.
847,LEVOMENTHOL,L-MENTHOL)
849,LIQUID PARAFFIN,LIQUID PARAFFIN
850,LIQUID PARAFFIN,LIQUID PARAFFIN;
851,L-LACTIDE-CO-GLYCOLIDE,L-LACTIDE-CO-GLYCOLIDE)
854,L-LACTIDE-CO-GLYCOLIDE,L-LACTIDE-CO-GLYCOLIDE.
855,L-LYSINE,L-LYSINE
856,METHIONINE,L-METHIONINE
857,LOW-DENSITY PIGMENTED POLYETHYLENE OUTER LAYER,LOW-DENSITY PIGMENTED POLYETHYLENE OUTER LAYER
858,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE,LOW SUBSTITUTED HYDROXYPROPYLCELLULOSE
859,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE,LOW-SUBSTITUTE HYDROXYPROPYLCELLULOSE
860,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE
861,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE (LH-11)
862,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE (LH-21)
863,LOW-SUBSTITUTED HYDROXYPROPYL CELLULOSE,LOW-SUBSTITUTED HYDROXYPROPYLCELLULOSE
864,L-TARTARIC ACID,L-TARTARIC ACID (E334)
865,MACROGOL CETOSTEARYL ETHER,MACROGOL CETOSTEARYL ETHER;
867,MACROGOLGLYCEROL HYDROXYSTEARATE,MACROGOLGLYCEROL HYDROXYSTEARATE
868,MACROGOLGLYCEROL RICINOLEATE,MACROGOLGLYCEROL RICINOLEATE
869,MAGNASWEET-110 FLAVOUR,MAGNASWEET-110 FLAVOUR (MIXTURE OF MONOAMMONIUM GLYCYRRHIZINATE AND GLYCEROL)
870,MAGNESIUM,MAGNESIUM
871,MAGNESIUM  STEARATE,MAGNESIUM  STEARATE
873,MAGNESIUM CHLORIDE HEXAHYDRATE,MAGNESIUM CHLORIDE HEXAHYDRATE
874,MAGNESIUM CITRATE,MAGNESIUM CITRATE (ANHYDROUS)
875,MAGNESIUM OXIDE,HEAVY (E530)
876,MAGNESIUM OXIDE,MAGNESIUM OXIDE
877,MAGNESIUM STEARATE,MAGNESIUM STEARATE
878,MAGNESIUM STEARATE,MAGNESIUM STEARATE  (E470B)
879,MAGNESIUM STEARATE,MAGNESIUM STEARATE (E 470 B)
880,MAGNESIUM STEARATE,MAGNESIUM STEARATE (E 470B)
881,MAGNESIUM STEARATE,MAGNESIUM STEARATE (E 572)
882,MAGNESIUM STEARATE,MAGNESIUM STEARATE (E 578)
883,MAGNESIUM STEARATE,MAGNESIUM STEARATE (E470 B)
884,MAGNESIUM STEARATE,MAGNESIUM STEARATE (E470B)
885,MAGNESIUM STEARATE,MAGNESIUM STEARATE (E570)
886,MAGNESIUM STEARATE,MAGNESIUM STEARATE (E572)
887,MAGNESIUM STEARATE,MAGNESIUM STEARATE (E-572)
888,MAGNESIUM STEARATE,MAGNESIUM STEARATE (E572);
